title,price,publisher,units
Star Wars,3.99,Marvel,203817.0
Convergence,4.99,DC,143053.0
Convergence,4.99,DC,132747.0
Batman,4.99,DC,131128.0
Darth Vader,3.99,Marvel,123394.0
Convergence,3.99,DC,111760.0
Convergence,3.99,DC,109388.0
Kanan Last Padawan,3.99,Marvel,108167.0
Convergence,3.99,DC,106131.0
Princess Leia,3.99,Marvel,102434.0
Spider-Gwen,3.99,Marvel,102234.0
Amazing Spider-Man,3.99,Marvel,99964.0
Deadpool,9.99,Marvel,96897.0
Justice League,3.99,DC,78388.0
Harley Quinn,2.99,DC,72055.0
Thor,3.99,Marvel,71372.0
Convergence Harley Quinn,3.99,DC,69838.0
Amazing Spider-Man,3.99,Marvel,68907.0
Uncanny Inhumans,4.99,Marvel,67017.0
Walking Dead,2.99,Image,66553.0
Avengers,4.99,Marvel,62939.0
Convergence Justice League,3.99,DC,62916.0
Avengers Ultron Forever,4.99,Marvel,60351.0
Silk,3.99,Marvel,58755.0
Convergence Batman Shadow of the Bat,3.99,DC,58693.0
Convergence Batman & Robin,3.99,DC,56720.0
Convergence Detective Comics,3.99,DC,56522.0
Guardians of the Galaxy And X-Men Black Vortex Omega,4.99,Marvel,55955.0
New Avengers,4.99,Marvel,55437.0
Saga,2.99,Image,54897.0
Multiversity,5.99,DC,54275.0
Guardians of Galaxy,3.99,Marvel,54124.0
Superman,3.99,DC,52666.0
Convergence Superman,3.99,DC,51823.0
All New X-Men,3.99,Marvel,50770.0
Convergence Nightwing Oracle,3.99,DC,50621.0
Uncanny Avengers,3.99,Marvel,50595.0
Uncanny X-Men,3.99,Marvel,49278.0
Batman Eternal,3.99,DC,47359.0
Avengers,3.99,Marvel,47200.0
Convergence Batgirl,3.99,DC,46891.0
Convergence Green Lantern Parallax,3.99,DC,46539.0
Convergence Justice League America,3.99,DC,46111.0
Convergence Flash,3.99,DC,45414.0
Convergence Action Comics,3.99,DC,45189.0
Wonder Woman,2.99,DC,45172.0
Convergence Wonder Woman,3.99,DC,44959.0
Convergence Batman & The Outsiders,3.99,DC,44078.0
Descender,2.99,Image,43946.0
Howard The Duck,3.99,Marvel,43572.0
Convergence New Teen Titans,3.99,DC,43547.0
Convergence Suicide Squad,3.99,DC,43518.0
Convergence Speed Force,3.99,DC,42977.0
All New Hawkeye,3.99,Marvel,42730.0
New Avengers Ultron Forever,4.99,Marvel,42349.0
Legendary Star Lord,3.99,Marvel,41325.0
Convergence Titans,3.99,DC,40518.0
Convergence Adventures of Superman,3.99,DC,40337.0
Superman Wonder Woman,3.99,DC,39868.0
Batman And Robin Annual,4.99,DC,39676.0
Convergence Shazam,3.99,DC,39587.0
Fantastic Four,5.99,Marvel,39389.0
Doctor Who 9th,3.99,Titan,38983.0
Convergence Justice Society of America,3.99,DC,38911.0
Bloodshot Reborn,3.99,Valiant,38788.0
Convergence Justice League Intl,3.99,DC,38579.0
All New Captain America,3.99,Marvel,38199.0
Convergence Aquaman,3.99,DC,37749.0
Convergence Green Lantern Corps,3.99,DC,37437.0
Convergence Green Arrow,3.99,DC,37303.0
Convergence Catwoman,3.99,DC,37215.0
Convergence Superman Man of Steel,3.99,DC,37093.0
Outcast By Kirkman & Azaceta,2.99,Image,36188.0
Archie Vs Predator,3.99,Dark Horse,35892.0
Rocket Raccoon,3.99,Marvel,35311.0
Convergence Supergirl Matrix,3.99,DC,34634.0
Convergence Question,3.99,DC,34446.0
Superior Iron Man,3.99,Marvel,34440.0
Darth Vader,3.99,Marvel,34298.0
Return of Living Deadpool,3.99,Marvel,34220.0
Convergence Booster Gold,3.99,DC,34191.0
Convergence Crime Syndicate,3.99,DC,33891.0
Convergence Superboy,3.99,DC,33739.0
Convergence Superboy & The Legion,3.99,DC,33605.0
Convergence Swamp Thing,3.99,DC,33424.0
Convergence Atom,3.99,DC,33154.0
Convergence Hawkman,3.99,DC,32985.0
Convergence Worlds Finest Comics,3.99,DC,32635.0
Jupiters Circle,3.5,Image,32542.0
Daredevil,3.99,Marvel,32541.0
Convergence Blue Beetle,3.99,DC,32172.0
Ms Marvel,2.99,Marvel,32058.0
Spider-Woman,3.99,Marvel,32041.0
Superior Iron Man,3.99,Marvel,32006.0
New 52 Futures End,2.99,DC,31976.0
Chrononauts,3.5,Image,31841.0
Spider-Man 2099,3.99,Marvel,31665.0
Ant-Man,3.99,Marvel,31637.0
Batman Superman Annual,4.99,DC,31451.0
Captain Marvel,3.99,Marvel,30560.0
Convergence Plastic Man Freedom Fighters,3.99,DC,30460.0
Convergence Infinity Inc,3.99,DC,30114.0
Miles Morales Ultimate Spider-Man,3.99,Marvel,29318.0
Avengers Operation Hydra,3.99,Marvel,29302.0
Guardians Team-Up,3.99,Marvel,28877.0
Hulk,3.99,Marvel,28494.0
X-Men,3.99,Marvel,27640.0
Inhuman Special,4.99,Marvel,27234.0
Shield,3.99,Marvel,26930.0
Savior,2.99,Image,26870.0
Amazing X-Men,3.99,Marvel,26859.0
Guardians of Galaxy Best Story Ever,3.99,Marvel,26852.0
Shield,3.99,Marvel,26614.0
Cyclops,3.99,Marvel,26516.0
True Believers Civil War,1.0,Marvel,26263.0
Inhuman,3.99,Marvel,26164.0
Hulk,3.99,Marvel,26118.0
Wolverines,3.99,Marvel,25790.0
Batman Arkham Knight,3.99,DC,25479.0
Earth 2 Worlds End,3.99,DC,25472.0
Wolverines,3.99,Marvel,25434.0
Wolverines,3.99,Marvel,25239.0
Arkham Manor Endgame,2.99,DC,25190.0
Wolverines,3.99,Marvel,25173.0
Gotham Academy Endgame,2.99,DC,24876.0
Spider-Gwen,3.99,Marvel,24501.0
Nameless,2.99,Image,24266.0
Angela Asgards Assassin,3.99,Marvel,23551.0
Batman Arkham Knight,3.99,DC,23370.0
Kaptara,3.5,Image,23263.0
Teen Titans Annual,4.99,DC,22939.0
Spider-Man And X-Men,3.99,Marvel,22929.0
Spider-Man And X-Men,4.99,Marvel,22843.0
Fade Out,3.5,Image,22303.0
Moon Knight,3.99,Marvel,22303.0
Magneto,3.99,Marvel,22072.0
Avengers Millennium,3.99,Marvel,21922.0
True Believers Infinity Gauntlet,1.0,Marvel,21770.0
Bitch Planet,3.5,Image,21569.0
Runlovekill,2.99,Image,21039.0
Unbeatable Squirrel Girl,3.99,Marvel,20987.0
Silver Surfer,4.99,Marvel,20776.0
My Little Pony Fiendship Is Magic,3.99,IDW,20562.0
Avengers World,3.99,Marvel,20491.0
Avengers Millennium,3.99,Marvel,20444.0
Avengers World,3.99,Marvel,20193.0
TMNT Ongoing,3.99,IDW,20158.0
Sabrina,3.99,Archie,20023.0
No Mercy,2.99,Image,20005.0
Uncle Scrooge,3.99,IDW,19922.0
Punisher,3.99,Marvel,19762.0
Avengers Millennium,3.99,Marvel,19553.0
Avengers Millennium,3.99,Marvel,19547.0
Dying And The Dead,3.5,Image,19432.0
Sinestro Annual,4.99,DC,19331.0
Rebels,3.99,Dark Horse,19109.0
Jem & The Holograms,3.99,IDW,19018.0
Black Widow,3.99,Marvel,18851.0
Nova,3.99,Marvel,18635.0
Captain America And Mighty Avengers,3.99,Marvel,18362.0
Nova,3.99,Marvel,18228.0
True Believers Old Man Logan,1.0,Marvel,18128.0
My Little Pony Fiendship Is Magic,3.99,IDW,18078.0
Black Science,3.5,Image,17876.0
My Little Pony Fiendship Is Magic,3.99,IDW,17842.0
My Little Pony Fiendship Is Magic,3.99,IDW,17799.0
My Little Pony Fiendship Is Magic,3.99,IDW,17767.0
Lady Mechanika Tablet of Destinies,3.99,Benitez,17638.0
True Believers Age of Ultron,1.0,Marvel,17627.0
Rick & Morty,3.99,Oni,17610.0
Southern Bastards,3.5,Image,17473.0
True Believers Marvel Zombies,1.0,Marvel,17454.0
Spawn,2.99,Image,17443.0
Loki Agent of Asgard,3.99,Marvel,17212.0
Pisces,3.5,Image,17110.0
