title,price,publisher,units
Hulk,2.99,Marvel,133895.0
Amazing Spider-Man,3.99,Marvel,127856.0
Captain America,2.99,Marvel,127524.0
Project Superpowers,1.0,Dynamic,113100.0
Astonishing X-Men,2.99,Marvel,107545.0
Uncanny X-Men,2.99,Marvel,105435.0
Ultimates 3,2.99,Marvel,104985.0
X-Men,2.99,Marvel,104709.0
Amazing Spider-Man,2.99,Marvel,101132.0
Amazing Spider-Man,2.99,Marvel,97881.0
Justice League of America,2.99,DC,94636.0
Mighty Avengers,2.99,Marvel,92665.0
New Avengers Annual,3.99,Marvel,89572.0
Buffy the Vampire Slayer,2.99,Dark Horse,88403.0
Mighty Avengers,2.99,Marvel,84391.0
New X-Men,2.99,Marvel,82592.0
X-Factor,2.99,Marvel,81285.0
Incredible Hercules,2.99,Marvel,73475.0
Countdown to Final Crisis,2.99,DC,69573.0
Countdown to Final Crisis,2.99,DC,69531.0
Countdown to Final Crisis,2.99,DC,69448.0
Batman,2.99,DC,69179.0
Countdown to Final Crisis,2.99,DC,68715.0
Countdown to Final Crisis,2.99,DC,68044.0
Green Lantern,2.99,DC,67546.0
Wolverine,2.99,Marvel,60808.0
Marvel Zombies 2,2.99,Marvel,60628.0
Ultimate Spider-Man,2.99,Marvel,58753.0
Ultimate Human,2.99,Marvel,57439.0
Action Comics,2.99,DC,56049.0
Avengers Initiative,2.99,Marvel,55225.0
Teen Titans,2.99,DC,52334.0
Superman Batman,2.99,DC,52078.0
Wolverine Origins,2.99,Marvel,51877.0
Detective Comics,2.99,DC,51538.0
Ultimate X-Men,2.99,Marvel,49594.0
Fantastic Four,2.99,Marvel,48294.0
Ultimate Iron Man II,2.99,Marvel,46211.0
Angel After The Fall,3.99,IDW,45976.0
Superman,2.99,DC,44620.0
Green Lantern Corps,2.99,DC,44572.0
Ultimate Fantastic Four,2.99,Marvel,44108.0
New Exiles,2.99,Marvel,43818.0
Young Avengers Presents,2.99,Marvel,43679.0
Thunderbolts,2.99,Marvel,43610.0
Teen Titans Year One,2.99,DC,43022.0
Captain America Chosen,3.99,Marvel,42939.0
Wonder Woman,2.99,DC,42863.0
Daredevil,2.99,Marvel,42739.0
Flash,2.99,DC,41431.0
World War Hulk Aftersmash Warbound,2.99,Marvel,39757.0
Onslaught Reborn,2.99,Marvel,39051.0
Iron Man,3.99,Marvel,38041.0
Supergirl,2.99,DC,36429.0
Booster Gold,2.99,DC,36263.0
Punisher War Journal,2.99,Marvel,35786.0
Twelve,2.99,Marvel,35627.0
What If Spider-Man Vs Wolverine,2.99,Marvel,35253.0
Green Arrow Black Canary,2.99,DC,35011.0
Teen Titans The Lost Annual,4.99,DC,34942.0
Moon Knight,2.99,Marvel,34541.0
World War Hulk Aftersmash Damage Control,2.99,Marvel,33559.0
X-Men Emperor Vulcan,2.99,Marvel,33524.0
Legion of Super Heroes,2.99,DC,33019.0
Immortal Iron Fist,2.99,Marvel,32597.0
Nightwing,2.99,DC,32279.0
Spider-Man With Great Power,3.99,Marvel,32175.0
Punisher,2.99,Marvel,31628.0
World of Warcraft,2.99,DC,31158.0
Star Wars Legacy,2.99,Dark Horse,31013.0
Death of New Gods,3.5,DC,30971.0
Annihilation Conquest,2.99,Marvel,30065.0
Robin,2.99,DC,30024.0
Umbrella Academy Apocalypse Suite,2.99,Dark Horse,29712.0
Nova,2.99,Marvel,29373.0
New Warriors,2.99,Marvel,28903.0
Black Adam Dark Age,2.99,DC,28882.0
Ghost Rider,2.99,Marvel,28543.0
Boys,2.99,Dynamic,28536.0
Y The Last Man,4.99,DC,28412.0
Anita Blake Vampire Hunter Guilty Pleasures,2.99,Marvel,27851.0
House of M Avengers,2.99,Marvel,27803.0
Silver Surfer In Thy Name,2.99,Marvel,27609.0
Salvation Run,2.99,DC,26807.0
52 Aftermath Four Horsemen,2.99,DC,26329.0
Countdown To Mystery,3.99,DC,25741.0
Countdown To Adventure,3.99,DC,25223.0
Spider Man Swing Shift Directors Cut One Shot,3.99,Marvel,25029.0
Star Wars Knights of Old Republic,2.99,Dark Horse,25015.0
Gotham Underground,2.99,DC,24718.0
Trials of Shazam,2.99,DC,24586.0
Ms. Marvel,2.99,Marvel,24240.0
Birds of Prey,2.99,DC,24192.0
Exiles Days of Then & Now,3.99,Marvel,23977.0
Cable Deadpool,2.99,Marvel,23403.0
Star Wars Dark Times,2.99,Dark Horse,23334.0
She-Hulk 2,3.99,Marvel,23265.0
Countdown To Mystery,3.99,DC,22960.0
Spawn,2.95,Image,22649.0
Countdown Lord Havok & Extremists,2.99,DC,22628.0
