title,price,publisher,units
Secret Invasion,3.99,Marvel,175423.0
Uncanny X-Men,3.99,Marvel,151923.0
Astonishing X-Men,2.99,Marvel,110701.0
New Avengers,2.99,Marvel,108728.0
Batman,2.99,DC,103191.0
Mighty Avengers,2.99,Marvel,96232.0
Wolverine,2.99,Marvel,89043.0
Thor,2.99,Marvel,83767.0
Justice League of America,2.99,DC,82936.0
Buffy The Vampire Slayer,2.99,Dark Horse,82014.0
Ultimate Origins,2.99,Marvel,80372.0
Captain America,2.99,Marvel,79301.0
Justice Society of America,2.99,DC,75516.0
Avengers Invaders,2.99,Marvel,75146.0
Dark Tower Long Road Home,3.99,Marvel,74965.0
Final Crisis Requiem,3.99,DC,74295.0
X-Force,2.99,Marvel,72803.0
Detective Comics,2.99,DC,72402.0
X-Men Legacy,2.99,Marvel,69849.0
Amazing Spider-Man,2.99,Marvel,69168.0
Amazing Spider-Man,2.99,Marvel,68898.0
Amazing Spider-Man,2.99,Marvel,68868.0
Justice Society of America Annual,3.99,DC,64492.0
Green Lantern,2.99,DC,63801.0
Avengers Initiative,2.99,Marvel,63621.0
Invincible Iron Man,2.99,Marvel,63030.0
Final Crisis Rogues Revenge,3.99,DC,62469.0
Trinity,2.99,DC,62239.0
Superman Batman,3.99,DC,61308.0
Skaar Son of Hulk,2.99,Marvel,56972.0
Secret Invasion Front Line,2.99,Marvel,56302.0
Captain America White,2.99,Marvel,56242.0
Ultimate Spider-Man,2.99,Marvel,55250.0
Trinity,2.99,DC,54670.0
Robin,2.99,DC,53869.0
Trinity,2.99,DC,53288.0
X-Factor,2.99,Marvel,53078.0
Incredible Hercules,2.99,Marvel,52587.0
Trinity,2.99,DC,52397.0
Trinity,2.99,DC,51365.0
Action Comics,2.99,DC,49353.0
Secret Invasion Fantastic Four,2.99,Marvel,48121.0
Ultimate X-Men,2.99,Marvel,48001.0
Superman,2.99,DC,47661.0
Wolverine Origins,2.99,Marvel,47530.0
Thunderbolts,2.99,Marvel,47160.0
Cable,2.99,Marvel,46419.0
Green Lantern Corps,2.99,DC,46089.0
Teen Titans,2.99,DC,44657.0
Amazing Spider-Man Extra,3.99,Marvel,44447.0
Angel After The Fall,3.99,IDW,43015.0
Young X-Men,2.99,Marvel,41333.0
Ms Marvel,2.99,Marvel,41222.0
Daredevil,2.99,Marvel,39250.0
Joker's Asylum: The Joker,2.99,DC,38940.0
Marvel 1985,3.99,Marvel,38669.0
Skrulls One-Shot,4.99,Marvel,38439.0
Captain Britain & M.I. 13,2.99,Marvel,36937.0
Spike After The Fall,3.99,IDW,36867.0
Wonder Woman,2.99,DC,36506.0
She-Hulk 2,2.99,Marvel,36046.0
Squadron Supreme 2,2.99,Marvel,35575.0
Iron Man Director of Shield,2.99,Marvel,35345.0
Ultimate Fantastic Four,2.99,Marvel,35075.0
Booster Gold,2.99,DC,34424.0
Batgirl,2.99,DC,34404.0
Batman & Outsiders,2.99,DC,34394.0
Black Panther,2.99,Marvel,33893.0
Joker's Asylum: The Penguin,2.99,DC,33463.0
New Warriors,2.99,Marvel,33202.0
Immortal Iron Fist,2.99,Marvel,32832.0
Brave & Bold,2.99,DC,32682.0
Joker's Asylum: Poison Ivy,2.99,DC,32622.0
Guardians of the Galaxy,2.99,Marvel,31700.0
Joker's Asylum: Scarecrow,2.99,DC,31400.0
Conan The Cimmerian,2.99,Dark Horse,31290.0
War Heroes,2.99,Image,30639.0
Project Superpowers,2.99,Dynamic,30549.0
