title,price,publisher,units
Invincible Iron Man,3.99,Marvel,279514.0
Amazing Spider-Man,5.99,Marvel,245873.0
Spider-Gwen,3.99,Marvel,197103.0
Secret Wars,3.99,Marvel,192244.0
Doctor Strange,4.99,Marvel,145456.0
Star Wars,3.99,Marvel,134613.0
Chewbacca,3.99,Marvel,122952.0
Star Wars: Shattered Empire,3.99,Marvel,119508.0
Guardians of Galaxy,3.99,Marvel,118342.0
Amazing Spider-Man,3.99,Marvel,111322.0
Batman,3.99,DC,109367.0
Star Wars: Shattered Empire,3.99,Marvel,105496.0
Star Wars: Shattered Empire,3.99,Marvel,105284.0
Uncanny Avengers,4.99,Marvel,105234.0
Darth Vader,3.99,Marvel,94372.0
Darth Vader,3.99,Marvel,92866.0
Uncanny Inhumans,4.99,Marvel,90528.0
Avengers,5.99,Marvel,80722.0
Contest of Champions,4.99,Marvel,79873.0
Justice League,3.99,DC,77192.0
Batman and Robin Eternal,3.99,DC,76882.0
Astonishing Ant-Man,3.99,Marvel,75598.0
Paper Girls,2.99,Image,75585.0
Chewbacca,3.99,Marvel,74311.0
New Avengers,3.99,Marvel,71243.0
Walking Dead,2.99,Image,67056.0
Back to the Future,3.99,IDW,67015.0
Invincible Iron Man,3.99,Marvel,66664.0
Karnak,3.99,Marvel,63672.0
Old Man Logan,3.99,Marvel,62716.0
Captain America Sam Wilson,3.99,Marvel,62535.0
Star Wars Lando,3.99,Marvel,59760.0
Civil War,3.99,Marvel,58224.0
Spider-Man 2099,3.99,Marvel,57719.0
Justice League of America,3.99,DC,56543.0
Harley Quinn,3.99,DC,55272.0
Batman and Robin Eternal,2.99,DC,54267.0
Deadpool Vs Thanos,3.99,Marvel,53626.0
Batman and Robin Eternal,2.99,DC,52108.0
Deadpool Vs Thanos,3.99,Marvel,51324.0
New Avengers,3.99,Marvel,50455.0
I Hate Fairyland,3.5,Image,50318.0
Batman and Robin Eternal,2.99,DC,49985.0
Detective Comics,3.99,DC,47972.0
All New All Different Point One,5.99,Marvel,45759.0
Howling Commandos of Shield,3.99,Marvel,44532.0
Kanan,3.99,Marvel,44127.0
Unbeatable Squirrel Girl,3.99,Marvel,43155.0
Superman,3.99,DC,42693.0
A-Force,3.99,Marvel,41337.0
Spider-Man 2099,3.99,Marvel,40701.0
Captain America Sam Wilson,3.99,Marvel,40224.0
We Stand On Guard,2.99,Image,40197.0
Angela Queen of Hel,3.99,Marvel,39271.0
Green Lantern,3.99,DC,38406.0
Captain America White,3.99,Marvel,37867.0
Age of Apocalypse,3.99,Marvel,37858.0
Justice League Darkseid War Batman,3.99,DC,37657.0
Batman Superman,3.99,DC,37566.0
Fight Club 2,3.99,Dark Horse,36671.0
Action Comics,3.99,DC,36560.0
Robin Son of Batman,3.99,DC,35619.0
Flash,3.99,DC,35485.0
