title,price,publisher,units
FF,3.99,Marvel,114472.0
Green Lantern,2.99,DC,76898.0
Green Lantern,2.99,DC,75632.0
Batman The Dark Knight,2.99,DC,71108.0
Brightest Day,2.99,DC,70204.0
Brightest Day,2.99,DC,69824.0
Batman Incorporated,2.99,DC,66772.0
Avengers,3.99,Marvel,66618.0
Batman Incorporated,2.99,DC,65315.0
Fear Itself Book of The Skull,3.99,Marvel,62714.0
Kick-Ass 2,2.99,Marvel,62235.0
Green Lantern Corps,2.99,DC,60100.0
New Avengers,3.99,Marvel,59929.0
Batman And Robin,2.99,DC,59818.0
Amazing Spider-Man,3.99,Marvel,59626.0
Godzilla Kingdom of Monsters,3.99,IDW,58879.0
Amazing Spider-Man,3.99,Marvel,58704.0
Batman,2.99,DC,58594.0
Uncanny X-Men,3.99,Marvel,55731.0
Venom,3.99,Marvel,53981.0
Secret Avengers,3.99,Marvel,51353.0
Green Lantern Emerald Warriors,2.99,DC,51322.0
Uncanny X-Force,3.99,Marvel,51248.0
X-Men,3.99,Marvel,51179.0
Uncanny X-Force,2.99,Marvel,50732.0
Justice League of America,2.99,DC,50533.0
X-Men Legacy,2.99,Marvel,47893.0
Wolverine,3.99,Marvel,47337.0
Ultimate Comics Spider-Man,3.99,Marvel,44920.0
Captain America,4.99,Marvel,44394.0
Ultimate Avengers Vs New Ultimates,3.99,Marvel,44116.0
Ultimate Comics Spider-Man,3.99,Marvel,44067.0
Invincible Iron Man,3.99,Marvel,43899.0
Captain America,2.99,Marvel,43117.0
Thor,3.99,Marvel,42104.0
Uncanny X-Men Annual,3.99,Marvel,41720.0
Thor,2.99,Marvel,41605.0
Detective Comics,2.99,DC,40047.0
Superman,2.99,DC,39846.0
New Mutants,2.99,Marvel,37659.0
Ultimate Comics X,3.99,Marvel,37631.0
Walking Dead,2.99,Image,33686.0
Age of X Universe,3.99,Marvel,33437.0
Green Arrow,2.99,DC,33085.0
Wonder Woman,2.99,DC,32540.0
Hulk,2.99,Marvel,32163.0
Incredible Hulks,2.99,Marvel,32066.0
Action Comics,2.99,DC,31808.0
Wonder Woman,2.99,DC,31421.0
Hulk,3.99,Marvel,31368.0
Walking Dead,2.99,Image,31174.0
Birds of Prey,2.99,DC,30777.0
Justice League Generation Lost,2.99,DC,30323.0
Deadpool,2.99,Marvel,30299.0
Justice League Generation Lost,2.99,DC,30270.0
Incredible Hulks,2.99,Marvel,29792.0
Red Robin,2.99,DC,29652.0
Deadpool,2.99,Marvel,28979.0
Superman Batman,2.99,DC,28913.0
Justice Society of America,2.99,DC,28634.0
Ruse,2.99,Marvel,28520.0
Sigil,2.99,Marvel,28496.0
Batman Beyond,2.99,DC,28295.0
X-23,2.99,Marvel,27745.0
Avengers Childrens Crusade Young Avengers,3.99,Marvel,27738.0
X-23,2.99,Marvel,27510.0
Daken Dark Wolverine,2.99,Marvel,27486.0
Daredevil Reborn,3.99,Marvel,27231.0
Ultimate Comics Captain America,3.99,Marvel,27226.0
Daken Dark Wolverine,2.99,Marvel,27224.0
Superboy,2.99,DC,27215.0
Thunderbolts,2.99,Marvel,26710.0
Annihilators,4.99,Marvel,26543.0
Thunderbolts,2.99,Marvel,25455.0
X-Factor,2.99,Marvel,25256.0
Wolverine Best There Is,3.99,Marvel,25226.0
X-Factor,2.99,Marvel,25125.0
Teen Titans,2.99,DC,24957.0
DC Universe Online Legends,2.99,DC,24824.0
Batgirl,2.99,DC,24821.0
Iron Man 2.0,2.99,Marvel,24600.0
Astonishing Spider-Man Wolverine,3.99,Marvel,24036.0
Black Panther Man Without Fear,2.99,Marvel,23987.0
Avengers Academy,2.99,Marvel,23708.0
Legion of Super Heroes,2.99,DC,23667.0
Avengers Academy,2.99,Marvel,23636.0
Silver Surfer,2.99,Marvel,23484.0
DC Universe Online Legends,2.99,DC,23001.0
Adventure Comics,2.99,DC,22836.0
Secret Warriors,3.99,Marvel,22691.0
Heroes For Hire,2.99,Marvel,21827.0
Supergirl,2.99,DC,21786.0
Batman Streets of Gotham,2.99,DC,21434.0
Batman Streets of Gotham,2.99,DC,21342.0
Generation Hope,2.99,Marvel,21290.0
Legion of Super Villains,4.99,DC,21097.0
DC Universe Legacies,3.99,DC,21065.0
Marvel Zombies Supreme,3.99,Marvel,20995.0
Gotham City Sirens,2.99,DC,20807.0
Ultimate Comics Doom,3.99,Marvel,20768.0
Titans,2.99,DC,20723.0
5 Ronin,2.99,Marvel,20655.0
Scarlet,3.95,Marvel,20473.0
Outsiders,2.99,DC,20074.0
Dollhouse Epitaphs One Shot,3.5,Dark Horse,19836.0
Secret Six,2.99,DC,19822.0
Punishermax,3.99,Marvel,19243.0
Boys,3.99,Dynamic Forces,18955.0
Fables,2.99,DC,18910.0
5 Ronin,2.99,Marvel,18730.0
Zatanna,2.99,DC,18645.0
Warlord of Mars Dejah Thoris,3.99,Dynamic Forces,18432.0
Zatanna,2.99,DC,18431.0
Star Wars Darth Vader & Lost Command,3.5,Dark Horse,18368.0
Marvel Zombies Supreme,3.99,Marvel,18287.0
5 Ronin,2.99,Marvel,18186.0
Onslaught Unleashed,3.99,Marvel,18098.0
Star Wars Legacy War,3.5,Dark Horse,18058.0
Wolverine & Jubilee,2.99,Marvel,17734.0
5 Ronin,2.99,Marvel,17713.0
Astonishing Thor,3.99,Marvel,17698.0
Deadpoolmax,3.99,Marvel,17528.0
Dark Tower Gunslinger Little Sisters Eluria,3.99,Marvel,17490.0
5 Ronin,2.99,Marvel,17441.0
Deadpool Corps,2.99,Marvel,17277.0
American Vampire,2.99,DC,17269.0
Power Girl,2.99,DC,17232.0
Deadpool Team-Up,2.99,Marvel,17172.0
JSA All Stars,2.99,DC,16987.0
First Wave,3.99,DC,16895.0
True Blood Tainted Love,3.99,IDW,16639.0
Booster Gold,2.99,DC,16093.0
Invincible,2.99,Image,15808.0
