title,price,publisher,units
Avengers Vs X-Men,3.99,Marvel,190705.0
Avengers Vs X-Men,3.99,Marvel,186555.0
Batman,3.99,DC,130265.0
Justice League,3.99,DC,127090.0
Before Watchmen Minutemen,3.99,DC,107517.0
Before Watchmen Comedian,3.99,DC,104142.0
Before Watchmen Silk Spectre,3.99,DC,102955.0
Before Watchmen Nite Owl,3.99,DC,101297.0
Spider-Men,3.99,Marvel,94548.0
AVX Vs,3.99,Marvel,94528.0
Detective Comics,3.99,DC,83317.0
Astonishing X-Men,3.99,Marvel,82654.0
Action Comics,3.99,DC,80751.0
Green Lantern,2.99,DC,80615.0
Batman Incorporated,2.99,DC,73654.0
Batman The Dark Knight,2.99,DC,71671.0
Uncanny X-Men,3.99,Marvel,70521.0
Avengers,3.99,Marvel,68885.0
Earth 2,2.99,DC,68342.0
Spider-Men,3.99,Marvel,68283.0
Uncanny X-Men,3.99,Marvel,67793.0
Batman And Robin,2.99,DC,66894.0
New Avengers,3.99,Marvel,64927.0
Wolverine And X-Men,3.99,Marvel,64838.0
Amazing Spider-Man,3.99,Marvel,62680.0
Hit-Girl,2.99,Marvel,60409.0
Amazing Spider-Man,3.99,Marvel,59493.0
Aquaman,2.99,DC,59288.0
Superman,2.99,DC,59081.0
Walking Dead,2.99,Image,55710.0
Flash,2.99,DC,55681.0
Secret Avengers,3.99,Marvel,51572.0
Nightwing,2.99,DC,50585.0
X-Men Legacy,2.99,Marvel,49163.0
Uncanny X-Force,3.99,Marvel,47522.0
Teen Titans,2.99,DC,47491.0
Wonder Woman,2.99,DC,47229.0
Batgirl,2.99,DC,47050.0
X-Men Legacy,2.99,Marvel,46923.0
Worlds Finest,2.99,DC,46359.0
Green Lantern Corps,2.99,DC,44615.0
Green Lantern New Guardians,2.99,DC,44404.0
Daredevil,2.99,Marvel,43865.0
Mars Attacks,3.99,IDW,43514.0
Avengers Assemble,3.99,Marvel,43022.0
Ultimate Comics Spider-Man,3.99,Marvel,42549.0
Saga,2.99,Image,41143.0
Batwoman,2.99,DC,41014.0
Incredible Hulk,3.99,Marvel,40467.0
Fantastic Four,2.99,Marvel,40453.0
Avenging Spider-Man,3.99,Marvel,39861.0
Dark Avengers,2.99,Marvel,39532.0
Captain America,3.99,Marvel,39456.0
Incredible Hulk,3.99,Marvel,38122.0
Red Lanterns,2.99,DC,38005.0
X-Men,3.99,Marvel,37690.0
Swamp Thing,2.99,DC,37383.0
Catwoman,2.99,DC,37158.0
Red Hood And The Outlaws,2.99,DC,37044.0
X-Men,3.99,Marvel,35789.0
Wolverine,3.99,Marvel,35142.0
Animal Man,2.99,DC,34992.0
Dark Avengers,2.99,Marvel,34614.0
FF,2.99,Marvel,34260.0
Avengers Academy,2.99,Marvel,34040.0
Mighty Thor,3.99,Marvel,33674.0
Supergirl,2.99,DC,33309.0
Justice League Dark,2.99,DC,33238.0
Invincible Iron Man,3.99,Marvel,32553.0
Invincible Iron Man,3.99,Marvel,32518.0
Avengers Academy,2.99,Marvel,32243.0
Harbinger,3.99,Valiant,32111.0
Mighty Thor,3.99,Marvel,31798.0
Suicide Squad,2.99,DC,31576.0
Superboy,2.99,DC,31358.0
Justice League International,2.99,DC,31015.0
Ultimate Comics Ultimates,3.99,Marvel,30845.0
Winter Soldier,2.99,Marvel,30836.0
Scarlet Spider,2.99,Marvel,30722.0
Age of Apocalypse,2.99,Marvel,30469.0
Spawn,3.99,Image,30136.0
Mighty Thor Annual,4.99,Marvel,30038.0
Deadpool,2.99,Marvel,29513.0
Ultimate Comics X-Men,3.99,Marvel,29159.0
Winter Soldier,2.99,Marvel,28984.0
Venom,2.99,Marvel,28702.0
Birds of Prey,2.99,DC,28457.0
Ravagers,2.99,DC,28015.0
Buffy the Vampire Slayer Season 9 Freefall,2.99,Dark Horse,27867.0
Dial H,2.99,DC,27556.0
Green Arrow,2.99,DC,25769.0
All Star Western,3.99,DC,25334.0
X-Factor,2.99,Marvel,24854.0
Batman Beyond Unlimited,3.99,DC,24058.0
X-Factor,2.99,Marvel,23607.0
Defenders,3.99,Marvel,23574.0
Punisher,2.99,Marvel,23329.0
Batman Arkham Unhinged,2.99,DC,23322.0
Smallville Season 11,3.99,DC,22468.0
Hulk,2.99,Marvel,22386.0
Massive,3.5,Dark Horse,22173.0
Hulk,2.99,Marvel,22070.0
New Mutants,2.99,Marvel,22069.0
Journey Into Mystery,2.99,Marvel,21914.0
Fatale,3.5,Image,21828.0
Captain America And Iron Man,2.99,Marvel,21822.0
Captain America And Hawkeye,2.99,Marvel,21674.0
X-O Manowar,3.99,Valiant,21261.0
Fairest,2.99,DC,21156.0
Adventure Time,3.99,Boom,20889.0
Batwing,2.99,DC,20724.0
Journey Into Mystery,2.99,Marvel,20714.0
Stormwatch,2.99,DC,20592.0
Kiss,3.99,IDW,20518.0
Legion of Super Heroes,2.99,DC,19963.0
Thief of Thieves,2.99,Image,19833.0
Deathstroke,2.99,DC,19722.0
Shadow,3.99,Dynamic Forces,19554.0
Teenage Mutant Ninja Turtles,3.99,IDW,19416.0
Star Trek TNG Doctor Who Assimilation,3.99,IDW,19273.0
Star Wars Dawn of the Jedi Force Storm,3.5,Dark Horse,19025.0
Demon Knights,2.99,DC,19006.0
Fables,2.99,DC,18566.0
Manhattan Projects,3.5,Image,18544.0
Extermination,1.0,Boom,18130.0
Star Wars Blood Ties Boba Fett Is Dead,3.5,Dark Horse,17813.0
Legion Lost,2.99,DC,17581.0
Fury Max,3.99,Marvel,17152.0
G.I. Combat,3.99,DC,17102.0
Angel & Faith,2.99,Dark Horse,17044.0
Star Wars Darth Vader Ghost Prison,3.5,Dark Horse,16858.0
Boys,3.99,Dynamic Forces,16567.0
I Vampire,2.99,DC,16517.0
Untold Tales of Punisher Max,4.99,Marvel,16449.0
Savage Hawkman,2.99,DC,16417.0
Frankenstein Agent of Shade,2.99,DC,16377.0
American Vampire Lord of Nightmares,2.99,DC,15858.0
Fury of Firestorm The Nuclear Men,2.99,DC,15789.0
TMNT Micro Series,3.99,IDW,15769.0
Magic The Gathering Spell Thief,4.99,IDW,15726.0
American Vampire,2.99,DC,15573.0
Resurrection Man,2.99,DC,15481.0
Star Wars Knight Errant Escape,3.5,Dark Horse,15449.0
Conan The Barbarian,3.5,Dark Horse,15393.0
Secret,3.5,Image,14905.0
Shade,2.99,DC,14818.0
Dark Tower Gunslinger Man In Black,3.99,Marvel,14672.0
Invincible,2.99,Image,14553.0
Blue Beetle,2.99,DC,14413.0
