title,price,publisher,units
Blackest Night ,3.99,DC,130613.0
Siege ,3.99,Marvel,108429.0
Green Lantern ,2.99,DC,95509.0
Batman And Robin ,2.99,DC,87302.0
Batman And Robin ,2.99,DC,84562.0
Dark Avengers ,3.99,Marvel,76639.0
New Avengers ,3.99,Marvel,76405.0
Green Lantern Corps ,2.99,DC,75404.0
Flash Rebirth ,2.99,DC,70824.0
Uncanny X-Men ,2.99,Marvel,67049.0
Thor ,2.99,Marvel,66973.0
Blackest Night: The Flash ,2.99,DC,65348.0
Captain America ,3.99,Marvel,63568.0
Batman ,2.99,DC,61290.0
Amazing Spider-Man ,2.99,Marvel,59860.0
Ultimate Comics X ,3.99,Marvel,59159.0
Blackest Night Wonder Woman ,2.99,DC,58700.0
Justice League of America ,3.99,DC,57522.0
Amazing Spider-Man ,2.99,Marvel,55350.0
Blackest Night JSA ,2.99,DC,54906.0
Dark Wolverine ,2.99,Marvel,53958.0
Amazing Spider-Man ,3.99,Marvel,53929.0
Adventure Comics with Black Lantern Superboy ,3.99,DC,53721.0
Hulk ,3.99,Marvel,51962.0
X-Men Legacy ,2.99,Marvel,51344.0
Invincible Iron Man ,2.99,Marvel,50027.0
X-Force ,2.99,Marvel,49790.0
Buffy the Vampire Slayer ,2.99,Dark Horse,47975.0
Siege Embedded ,3.99,Marvel,46003.0
Incredible Hulk ,3.99,Marvel,45870.0
Deadpool ,2.99,Marvel,44580.0
Deadpool ,2.99,Marvel,43347.0
Doomwar ,3.99,Marvel,43241.0
Ultimate Comics Spider-Man ,3.99,Marvel,42176.0
Black Lantern Green Arrow ,3.99,DC,42014.0
Avengers Initiative ,2.99,Marvel,39968.0
Fall of Hulks Red Hulk ,3.99,Marvel,39259.0
Justice Society of America ,2.99,DC,39060.0
Daredevil ,2.99,Marvel,38693.0
Secret Six ,2.99,DC,37876.0
Fantastic Four ,2.99,Marvel,37526.0
Red Robin ,2.99,DC,36466.0
Question ,2.99,DC,35940.0
Dark X-Men ,3.99,Marvel,35007.0
Deadpool Merc with a Mouth ,2.99,Marvel,34281.0
Thunderbolts ,2.99,Marvel,33948.0
Justice Society of America Annual ,4.99,DC,33518.0
Supergirl ,4.99,DC,33338.0
Superman Batman ,2.99,DC,33224.0
Superman World of New Krypton ,2.99,DC,32407.0
Superman ,2.99,DC,31504.0
X-Factor ,2.99,Marvel,30981.0
Secret Warriors ,2.99,Marvel,30843.0
New Mutants ,2.99,Marvel,30807.0
Nation X ,3.99,Marvel,30670.0
Wolverine Weapon X ,3.99,Marvel,30132.0
Deadpool Team-Up ,2.99,Marvel,30119.0
Marvels Project ,3.99,Marvel,30108.0
Action Comics ,3.99,DC,29845.0
Ultimate Comics Enemy ,3.99,Marvel,29820.0
JSA All Stars ,3.99,DC,29666.0
Batgirl ,2.99,DC,29524.0
Cable ,2.99,Marvel,28890.0
Ultimate Comics Armor Wars ,3.99,Marvel,27950.0
Dark Tower Battle of Jericho Hill ,3.99,Marvel,27215.0
Gotham City Sirens ,2.99,DC,27172.0
Batman Streets of Gotham ,3.99,DC,27023.0
Teen Titans ,3.99,DC,26537.0
Dark Tower Battle of Jericho Hill ,3.99,Marvel,26336.0
Spider-Woman ,2.99,Marvel,26134.0
Wonder Woman ,2.99,DC,25354.0
Ms Marvel ,3.99,Marvel,25309.0
Incredible Hercules ,3.99,Marvel,24539.0
Titans ,2.99,DC,24489.0
Web of Spider-Man ,3.99,Marvel,24296.0
Realm of Kings Son of Hulk ,3.99,Marvel,24010.0
Walking Dead ,2.99,Image,23999.0
Punisher ,2.99,Marvel,23455.0
Nova ,2.99,Marvel,23014.0
Guardians of Galaxy ,2.99,Marvel,22807.0
Stand Soul Survivors ,3.99,Marvel,22804.0
Punishermax ,3.99,Marvel,22472.0
Haunt ,2.99,Image,22454.0
Boys ,2.99,Dynamic,21905.0
Project Superpowers Chapter Two ,2.99,Dynamic,21688.0
Psylocke ,3.99,Marvel,21678.0
Outsiders ,2.99,DC,21167.0
Booster Gold ,3.99,DC,21020.0
Power Girl ,2.99,DC,20900.0
Star Wars Legacy ,2.99,Dark Horse,20100.0
Vengeance of Moon Knight ,2.99,Marvel,19733.0
Realm of Kings Inhumans ,3.99,Marvel,19118.0
Wolverine Savage,3.99,Marvel,18396.0
Avengers Vs Atlas ,3.99,Marvel,17998.0
Realm of Kings Imperial Guard ,3.99,Marvel,17939.0
X-Men Forever ,3.99,Marvel,17873.0
Joe the Barbarian ,2.99,DC,17512.0
Conan the Cimmerian ,2.99,Dark Horse,17074.0
Batman Confidential ,2.99,DC,16856.0
Green Arrow Black Canary ,3.99,DC,16600.0
X-Men Forever ,3.99,Marvel,16464.0
Black Widow Deadly Origin ,3.99,Marvel,15724.0
