title,price,publisher,units
Batman The Dark Knight,3.99,DC,89985.0
Green Lantern,2.99,DC,76360.0
Brightest Day,2.99,DC,75450.0
Brightest Day,2.99,DC,74871.0
Green Lantern,2.99,DC,72203.0
Batman Incorporated,3.99,DC,71544.0
Batman And Robin,2.99,DC,68814.0
New Avengers,3.99,Marvel,67840.0
Avengers,3.99,Marvel,67056.0
Batman,2.99,DC,63262.0
Wolverine Best There Is,3.99,Marvel,57348.0
Flash,2.99,DC,56304.0
Amazing Spider-Man,3.99,Marvel,55996.0
Uncanny X-Men,3.99,Marvel,55770.0
Uncanny X-Force,3.99,Marvel,55520.0
Green Lantern Corps,2.99,DC,54387.0
Secret Avengers,3.99,Marvel,54048.0
Flash,2.99,DC,53975.0
X-Men,3.99,Marvel,53005.0
Wolverine,3.99,Marvel,52812.0
Justice League of America,3.99,DC,48501.0
Nemesis,2.99,Marvel,46072.0
Thor,3.99,Marvel,45142.0
Shadowland,3.99,Marvel,44261.0
Green Lantern Emerald Warriors,3.99,DC,44077.0
Superman,2.99,DC,43027.0
Captain America,3.99,Marvel,42871.0
Invincible Iron Man,3.99,Marvel,41890.0
X-Men Legacy,2.99,Marvel,41797.0
Batman Annual,4.99,DC,41484.0
Daredevil,2.99,Marvel,40317.0
Buffy Vampire Slayer,2.99,Dark Horse,40010.0
Green Lantern Larfleeze Christmas Special,3.99,DC,39673.0
Generation Hope,2.99,Marvel,38984.0
Fantastic Four,2.99,Marvel,38108.0
Detective Comics,3.99,DC,37961.0
Green Arrow,2.99,DC,36835.0
Wonder Woman,2.99,DC,35495.0
Incredible Hulks,3.99,Marvel,34868.0
Hulk,3.99,Marvel,34755.0
Ultimate Comics Avengers 3,3.99,Marvel,34483.0
Ultimate Comics Spider-Man,3.99,Marvel,33707.0
Detective Comics Annual,4.99,DC,33522.0
Black Panther Man Without Fear,2.99,Marvel,33124.0
Birds of Prey,2.99,DC,33114.0
Astonishing X-Men Xenogenesis,3.99,Marvel,33100.0
Carnage,3.99,Marvel,32794.0
Incredible Hulks,3.99,Marvel,32657.0
Action Comics,3.99,DC,32357.0
Superior,2.99,Marvel,31952.0
Justice League Generation Lost,2.99,DC,31871.0
Superboy,2.99,DC,31761.0
Justice Society of America,2.99,DC,31497.0
Justice League Generation Lost,2.99,DC,31048.0
Red Robin,2.99,DC,30873.0
Daken Dark Wolverine,2.99,Marvel,30726.0
Superman Batman,2.99,DC,30586.0
Deadpool,2.99,Marvel,30488.0
Heroes For Hire,3.99,Marvel,30375.0
X-23,2.99,Marvel,29703.0
Ultimate Comics Thor,3.99,Marvel,28074.0
Thunderbolts,2.99,Marvel,27943.0
Avengers Academy,2.99,Marvel,27774.0
Ultimate Comics Doom,3.99,Marvel,27469.0
Shield,2.99,Marvel,27133.0
Action Comics Annual,4.99,DC,27031.0
X-Factor,2.99,Marvel,26443.0
Shadowland After Fall,3.99,Marvel,26435.0
Chaos War,3.99,Marvel,26313.0
Teen Titans,2.99,DC,25997.0
Astonishing Spider-Man Wolverine,3.99,Marvel,25850.0
Batgirl,2.99,DC,25225.0
Legion of Super Heroes,3.99,DC,25063.0
Batman 80 Page Giant 2010,5.99,DC,24582.0
New Mutants,2.99,Marvel,24416.0
Adventure Comics,3.99,DC,23787.0
Secret Warriors,2.99,Marvel,23078.0
Fables,9.99,DC,23014.0
Supergirl,2.99,DC,22606.0
Titans,2.99,DC,22483.0
Time Masters Vanishing Point,3.99,DC,22312.0
DC Universe Legacies,3.99,DC,21886.0
Batman Streets of Gotham,3.99,DC,21684.0
Spider-Girl,2.99,Marvel,21606.0
Gotham City Sirens,2.99,DC,21344.0
True Blood,3.99,IDW,21297.0
Deadpoolmax,3.99,Marvel,20990.0
What If 200,4.99,Marvel,20436.0
Chaos War X-Men,3.99,Marvel,20156.0
Lady Mechanika,2.99,Aspen,20034.0
What If Wolverine Father,3.99,Marvel,19867.0
Dark Tower Gunslinger Little Sisters Eluria,3.99,Marvel,19807.0
Star Wars Legacy War,3.5,Dark Horse,19785.0
Secret Six,2.99,DC,19587.0
Boys,3.99,Dynamic Forces,19582.0
Thor For Asgard,3.99,Marvel,19463.0
Hellboy Sleeping & Dead,3.5,Dark Horse,19360.0
Zatanna,2.99,DC,19321.0
American Vampire,3.99,DC,19019.0
What If Spider-Man,3.99,Marvel,18810.0
JSA All Stars,3.99,DC,18395.0
Widowmaker,3.99,Marvel,18245.0
First Wave,3.99,DC,18241.0
Batman Orphans,3.99,DC,18164.0
What If Dark Reign,3.99,Marvel,17902.0
American Vampire,3.99,DC,17761.0
Namor First Mutant,2.99,Marvel,17730.0
What If Iron Man Demon In An Armor,3.99,Marvel,17616.0
Chaos War Dead Avengers,3.99,Marvel,17111.0
Power Girl,2.99,DC,16763.0
Deadpool Corps,2.99,Marvel,16735.0
Batman Orphans,3.99,DC,16705.0
Osborn,3.99,Marvel,16704.0
Booster Gold,2.99,DC,16686.0
Punisher In Blood,3.99,Marvel,16608.0
Incognito Bad Influences,3.5,Marvel,16368.0
Haunt,2.99,Image,16175.0
Invaders Now,3.99,Marvel,16106.0
Conan The Road of Kings,3.5,Dark Horse,16099.0
Green Lantern Plastic Man Weapon Mass Deception,4.99,DC,16082.0
Widowmaker,3.99,Marvel,16050.0
Iron Man Thor,3.99,Marvel,15977.0
X-Men To Serve And Protect,3.99,Marvel,15976.0
Chaos War Thor,3.99,Marvel,15910.0
Lady Death,3.99,Avatar,15665.0
Deadpool Team-Up,2.99,Marvel,15626.0
Invincible,2.99,Image,15577.0
Chaos War Ares,3.99,Marvel,15232.0
Star Wars Old Republic,2.99,Dark Horse,14862.0
Boys Highland Laddie,3.99,Dynamic Forces,14855.0
Green Hornet,3.99,Dynamic Forces,14771.0
