title,price,publisher,units
Secret Invasion,3.99,Marvel,250213.0
New Avengers,2.99,Marvel,110448.0
Dark Tower Long Road Home,3.99,Marvel,103008.0
Mighty Avengers,2.99,Marvel,97219.0
Uncanny X-Men,2.99,Marvel,93350.0
Hulk,2.99,Marvel,92468.0
Thor,2.99,Marvel,91963.0
Amazing Spider-Man,2.99,Marvel,86885.0
Justice League of America,2.99,DC,85789.0
X-Force,2.99,Marvel,85732.0
Buffy the Vampire Slayer,2.99,Dark Horse,83563.0
Captain America,2.99,Marvel,80619.0
Justice Society of America,2.99,DC,80491.0
Amazing Spider-Man,2.99,Marvel,78442.0
X-Men Legacy,2.99,Marvel,77425.0
Amazing Spider-Man,2.99,Marvel,77041.0
Titans,3.5,DC,75569.0
Countdown to Final Crisis,2.99,DC,72688.0
Young X-Men,2.99,Marvel,71579.0
Batman,2.99,DC,71124.0
Countdown to Final Crisis,2.99,DC,70149.0
Countdown to Final Crisis,2.99,DC,69815.0
Countdown to Final Crisis,2.99,DC,69616.0
Cable,2.99,Marvel,65555.0
Green Lantern,2.99,DC,65334.0
X-Men: Divided We Stand,3.99,Marvel,65327.0
Fantastic Four,2.99,Marvel,65000.0
Wolverine,2.99,Marvel,64858.0
Cable,2.99,Marvel,59865.0
Action Comics,2.99,DC,56870.0
Ultimate Spider-Man,2.99,Marvel,56622.0
Serenity: Better Days,2.99,Dark Horse,56117.0
Logan,3.99,Marvel,56102.0
Superman,3.99,DC,54843.0
Avengers Initiative,2.99,Marvel,52866.0
Superman Batman,2.99,DC,52546.0
Avengers Initiative,2.99,Marvel,52333.0
X-Factor,2.99,Marvel,51437.0
Wolverine Origins,2.99,Marvel,49289.0
Ultimate X-Men,2.99,Marvel,49097.0
Action Comics,2.99,DC,48428.0
Detective Comics,2.99,DC,48421.0
Teen Titans,2.99,DC,47347.0
Green Lantern Corps,2.99,DC,46771.0
Angel After The Fall,3.99,IDW,46636.0
Kick Ass,2.99,Marvel,45654.0
Incredible Hercules,2.99,Marvel,44566.0
Thor Ages of Thunder,3.99,Marvel,43428.0
Ultimate Human,2.99,Marvel,43414.0
Ms Marvel,2.99,Marvel,42269.0
Project Superpowers,2.99,Dynamic,41614.0
Wonder Woman,2.99,DC,39481.0
Captain Marvel,2.99,Marvel,38663.0
Brave & Bold,2.99,DC,37731.0
Ultimate Fantastic Four,2.99,Marvel,37454.0
Batman & Outsiders,2.99,DC,36543.0
Booster Gold,2.99,DC,35974.0
Iron Man,3.99,Marvel,35747.0
DC Wildstorm Dreamwar,2.99,DC,34787.0
Flash,2.99,DC,33734.0
Green Arrow Black Canary,2.99,DC,32027.0
Young Avengers Presents,2.99,Marvel,31977.0
Supergirl,2.99,DC,31373.0
Immortal Iron Fist,3.99,Marvel,30875.0
Punisher,2.99,Marvel,30789.0
Teen Titans Year One,2.99,DC,30476.0
Young Avengers Presents,2.99,Marvel,30299.0
Daredevil: Blood of Tarantula,3.99,Marvel,30299.0
Star Wars Legacy,2.99,Dark Horse,30199.0
Death of New Gods,3.5,DC,29929.0
Nightwing,2.99,DC,29907.0
Annihilation Conquest,3.99,Marvel,29872.0
Twelve,2.99,Marvel,29723.0
Punisher War Journal,2.99,Marvel,29559.0
New Exiles,2.99,Marvel,29225.0
Legion of Super Heroes,2.99,DC,28933.0
New Exiles,2.99,Marvel,28499.0
Hulk Vs. Hercules: When Titans Collide,3.99,Marvel,28407.0
Nova,2.99,Marvel,28179.0
Boys,2.99,Dynamic,28051.0
Moon Knight,2.99,Marvel,27802.0
Iron Man Legacy of Doom,2.99,Marvel,27297.0
Robin,2.99,DC,26351.0
Salvation Run,2.99,DC,26273.0
World of Warcraft,2.99,DC,26266.0
Ghost Rider,2.99,Marvel,25861.0
Last Defenders,2.99,Marvel,25725.0
Tangent Supermans Reign,2.99,DC,25647.0
Wolverine First Class,2.99,Marvel,25605.0
Trials of Shazam,3.5,DC,25384.0
World War Hulk Aftersmash: Warbound,2.99,Marvel,24531.0
Star Wars Knights of Old Republic,2.99,Dark Horse,24282.0
Batman Confidential,2.99,DC,24033.0
Fables,2.99,DC,23848.0
Gotham Underground,2.99,DC,23521.0
New Warriors,2.99,Marvel,22632.0
Walking Dead,2.99,Image,22461.0
Birds of Prey,2.99,DC,22176.0
Star Wars Dark Times,2.99,Dark Horse,21984.0
Anita Blake Vampire Hunter: Guilty Pleasures,2.99,Marvel,21458.0
She-Hulk 2,2.99,Marvel,20839.0
Spawn,2.95,Image,20562.0
Batman Death Mask,2.99,DC,20213.0
Superman Confidential,2.99,DC,18919.0
Star Wars Rebellion,2.99,Dark Horse,18720.0
Catwoman,2.99,DC,18549.0
DC Special Raven,2.99,DC,17959.0
Powers Annual 2008,4.95,Marvel,17838.0
Order,2.99,Marvel,17297.0
Frank Frazetta's Dark Kingdom One-Shot,3.99,Image,17219.0
Witchblade,2.99,Image,16515.0
Glamourpuss,3.0,Aardvark-Vanaheim,16515.0
Jack of Fables,2.99,DC,16302.0
Darkness,2.99,Image,16074.0
BPRD 1946,2.99,Dark Horse,16053.0
G.I. Joe America's Elite,3.5,Devil's Due,16045.0
Supernatural Rising Son,2.99,DC,16010.0
