title,price,publisher,units
Spawn,7.99,Image,262599.0
Spider-Man,4.99,Marvel,156369.0
House of X,4.99,Marvel,139306.0
Powers of X,4.99,Marvel,137550.0
Powers of X,4.99,Marvel,127076.0
House of X,4.99,Marvel,119366.0
Doomsday Clock,4.99,DC,115817.0
Harley Quinn & Poison Ivy,3.99,DC,110326.0
Absolute Carnage,4.99,Marvel,95543.0
Dceased a Good Day to Die,4.99,DC,90017.0
Harleen,7.99,DC,84785.0
Batman,3.99,DC,84117.0
Batman,3.99,DC,80979.0
Amazing Spider-Man,3.99,Marvel,80157.0
Batman Curse of the White Knight,4.99,DC,67840.0
Venom,3.99,Marvel,65676.0
Strikeforce,3.99,Marvel,65590.0
Amazing Spider-Man,3.99,Marvel,65046.0
Batman Superman,4.99,DC,62050.0
Fantastic Four,3.99,Marvel,58463.0
Immortal Hulk,3.99,Marvel,56734.0
King Thor,3.99,Marvel,55731.0
Justice League,3.99,DC,52329.0
Action Comics,3.99,DC,51165.0
Justice League,3.99,DC,51112.0
Silver Surfer Black,3.99,Marvel,50502.0
Detective Comics,3.99,DC,50416.0
Detective Comics,3.99,DC,50034.0
Legion of Super Heroes Millennium,4.99,DC,48389.0
Absolute Carnage Scream,3.99,Marvel,48146.0
Superman,3.99,DC,47857.0
Event Leviathan,4.99,DC,47364.0
Flash Forward,3.99,DC,46176.0
Absolute Carnage Vs. Deadpool,3.99,Marvel,44875.0
Savage Avengers,3.99,Marvel,44615.0
Avengers,3.99,Marvel,44454.0
Absolute Carnage Symbiote Spider-Man,4.99,Marvel,42786.0
Catwoman,3.99,DC,42687.0
Absolute Carnage Miles Morales,3.99,Marvel,42478.0
Tony Stark Iron Man,3.99,Marvel,41530.0
Bloodshot,3.99,Valiant,41368.0
Green Lantern,3.99,DC,41044.0
Absolute Carnage Symbiote of Vengeance,4.99,Marvel,40669.0
Black Panther and Agents of Wakanda,3.99,Marvel,39879.0
Valkyrie Jane Foster,3.99,Marvel,39564.0
Batman Vs. Ras Al Ghul,3.99,DC,39374.0
Web of Black Widow,3.99,Marvel,38627.0
Guardians of the Galaxy,3.99,Marvel,38549.0
Miles Morales Spider-Man,4.99,Marvel,37380.0
Star Wars,3.99,Marvel,37031.0
Flash,3.99,DC,36673.0
Flash,3.99,DC,35660.0
Daredevil,3.99,Marvel,35343.0
Captain America,3.99,Marvel,34405.0
TMNT,3.99,IDW,34373.0
Absolute Carnage Lethal Protectors,3.99,Marvel,34372.0
Something Is Killing Children,3.99,Boom,33648.0
Agents of Atlas,3.99,Marvel,32051.0
Shazam,3.99,DC,31834.0
