title,price,publisher,units
Walking Dead,3.99,Image,335082.0
Avengers Vs X-Men,3.99,Marvel,179208.0
Avengers Vs X-Men,3.99,Marvel,174910.0
Batman,3.99,DC,127210.0
Justice League,3.99,DC,123971.0
Before Watchmen Ozymandias,3.99,DC,88210.0
AVX Vs,3.99,Marvel,86526.0
Detective Comics,3.99,DC,79835.0
Green Lantern,2.99,DC,78708.0
Action Comics,3.99,DC,76232.0
Before Watchmen Minutemen,3.99,DC,68768.0
Batman The Dark Knight,2.99,DC,68632.0
Earth 2,2.99,DC,67403.0
Uncanny X-Men,3.99,Marvel,66114.0
Batman And Robin,2.99,DC,65043.0
Uncanny X-Men,3.99,Marvel,63835.0
Before Watchmen Comedian,3.99,DC,63686.0
Avengers,3.99,Marvel,63169.0
New Avengers,3.99,Marvel,62739.0
Wolverine And X-Men,3.99,Marvel,62689.0
Before Watchmen Silk Spectre,3.99,DC,61563.0
Wolverine And X-Men,3.99,Marvel,61029.0
Wolverine,3.99,Marvel,60880.0
Amazing Spider-Man,3.99,Marvel,59859.0
Amazing Spider-Man,3.99,Marvel,58976.0
Spider-Men,3.99,Marvel,57739.0
Aquaman,2.99,DC,57675.0
Superman,2.99,DC,56066.0
Flash,2.99,DC,53674.0
Nightwing,2.99,DC,49124.0
Uncanny X-Force,3.99,Marvel,46367.0
Uncanny X-Force,3.99,Marvel,46325.0
Wonder Woman,2.99,DC,45669.0
Teen Titans,2.99,DC,45367.0
Hit-Girl,2.99,Marvel,45338.0
Batgirl,2.99,DC,45004.0
X-Men Legacy,2.99,Marvel,44914.0
Green Lantern Corps,2.99,DC,42996.0
Green Lantern New Guardians,2.99,DC,42929.0
Ultimate Comics Spider-Man,3.99,Marvel,42050.0
Secret Avengers,3.99,Marvel,41653.0
Captain Marvel,2.99,Marvel,41582.0
Worlds Finest,2.99,DC,40963.0
Saga,2.99,Image,40556.0
Batwoman,2.99,DC,38980.0
Avengers Assemble,3.99,Marvel,38951.0
Daredevil,2.99,Marvel,38469.0
Fantastic Four,2.99,Marvel,37776.0
Avenging Spider-Man,3.99,Marvel,37134.0
Captain America,3.99,Marvel,36812.0
X-Treme X-Men,2.99,Marvel,36802.0
Incredible Hulk,3.99,Marvel,36743.0
Red Lanterns,2.99,DC,36462.0
Captain America,3.99,Marvel,36433.0
Swamp Thing,2.99,DC,36257.0
Red Hood And The Outlaws,2.99,DC,35820.0
Astonishing X-Men,3.99,Marvel,35766.0
Catwoman,2.99,DC,35551.0
X-Men,3.99,Marvel,35091.0
Animal Man,2.99,DC,33909.0
