title,price,publisher,units
Black Panther,4.99,Marvel,253259.0
Star Wars Poe Dameron,4.99,Marvel,175322.0
Dark Knight III Master Race,5.99,DC,143055.0
Star Wars Special C-3PO,4.99,Marvel,120841.0
Batman,3.99,DC,101922.0
Gwenpool,4.99,Marvel,100852.0
Star Wars,3.99,Marvel,98880.0
Darth Vader,3.99,Marvel,76965.0
Harley Quinn & Suicide Squad April Fools Special,4.99,DC,75354.0
Amazing Spider-Man,3.99,Marvel,73643.0
Justice League,3.99,DC,71131.0
Amazing Spider-Man,3.99,Marvel,67446.0
Walking Dead,2.99,Image,67358.0
Batman Teenage Mutant Ninja Turtles,3.99,DC,65616.0
Spider-Man Deadpool,3.99,Marvel,64931.0
Deadpool,3.99,Marvel,64509.0
Moon Knight,4.99,Marvel,60938.0
Spider-Gwen,3.99,Marvel,60900.0
Justice League Darkseid War Special,3.99,DC,60808.0
Spider-Man,3.99,Marvel,59789.0
Old Man Logan,3.99,Marvel,59174.0
Mighty Morphin Power Rangers,3.99,Boom,58976.0
Old Man Logan,3.99,Marvel,58870.0
Deadpool,3.99,Marvel,57798.0
Uncanny X-Men,4.99,Marvel,57434.0
Empress,3.99,Marvel,55829.0
Harley Quinn,3.99,DC,54864.0
Harley Quinn and Her Gang of Harleys,3.99,DC,52659.0
Mighty Thor,3.99,Marvel,52538.0
All New All Different Avengers,3.99,Marvel,51925.0
Extraordinary X-Men,3.99,Marvel,51322.0
Obi-Wan and Anakin,3.99,Marvel,50486.0
Spider-Women Alpha,4.99,Marvel,50220.0
Doctor Strange,3.99,Marvel,49590.0
Avengers Standoff Assault On Pleasant Hill Omega,4.99,Marvel,49012.0
Saga,2.99,Image,48957.0
Daredevil,3.99,Marvel,48745.0
Deadpool Mercs For Money,3.99,Marvel,47185.0
Invincible Iron Man,3.99,Marvel,46520.0
Uncanny Avengers,3.99,Marvel,45659.0
Detective Comics,3.99,DC,43190.0
Silk,3.99,Marvel,43012.0
Harleys Little Black Book,4.99,DC,41444.0
International Iron Man,3.99,Marvel,40459.0
Guardians of Galaxy,3.99,Marvel,40213.0
All New X-Men,3.99,Marvel,39942.0
Spider-Woman,3.99,Marvel,39291.0
Doctor Strange Last Days of Magic,5.99,Marvel,39161.0
All New Wolverine,3.99,Marvel,38168.0
Superman,3.99,DC,38103.0
Flash,4.99,DC,35160.0
Batgirl,4.99,DC,34632.0
Batman Superman,3.99,DC,34459.0
Black Widow,3.99,Marvel,34453.0
X-Men 92,3.99,Marvel,33862.0
Mockingbird,3.99,Marvel,32965.0
Green Lantern,3.99,DC,32862.0
Captain America Road To War,4.99,Marvel,32273.0
Action Comics,3.99,DC,32167.0
Totally Awesome Hulk,3.99,Marvel,31165.0
Captain America Sam Wilson,3.99,Marvel,31052.0
New Avengers,3.99,Marvel,30835.0
New Avengers,3.99,Marvel,30102.0
Ms Marvel,3.99,Marvel,29863.0
Wonder Woman,3.99,DC,29787.0
Superman Wonder Woman,3.99,DC,28812.0
A-Force,3.99,Marvel,27672.0
Grayson,3.99,DC,27378.0
Uncanny Inhumans,3.99,Marvel,27088.0
Karnak,3.99,Marvel,26670.0
Power Man and Iron Fist,3.99,Marvel,26496.0
Robin Son of Batman,3.99,DC,26366.0
Infinity Entity,3.99,Marvel,26170.0
Ultimates,3.99,Marvel,26146.0
