title,price,publisher,units
Batman,3.99,DC,113255.0
Amazing Spider-Man,3.99,Marvel,104739.0
Shield,4.99,Marvel,94503.0
Batman Annual,4.99,DC,81396.0
Thor,3.99,Marvel,72563.0
Justice League,3.99,DC,72081.0
Amazing Spider-Man Annual,4.99,Marvel,71284.0
Avengers and X-Men Axis,3.99,Marvel,70194.0
Avengers and X-Men Axis,4.99,Marvel,69518.0
Avengers and X-Men Axis,3.99,Marvel,69449.0
Harley Quinn,2.99,DC,68102.0
Walking Dead,2.99,Image,67361.0
Harley Quinn Holiday Special,4.99,DC,63465.0
Spider-Man and X-Men,3.99,Marvel,61952.0
Angela Asgards Assassin,3.99,Marvel,61398.0
Sandman Overture,3.99,DC,58655.0
Robin Rises Alpha,4.99,DC,57990.0
All New X-Men,3.99,Marvel,57569.0
Detective Comics,3.99,DC,54953.0
Batman and Robin,2.99,DC,53543.0
Uncanny X-Men,3.99,Marvel,53502.0
Guardians of Galaxy,3.99,Marvel,52470.0
Guardians of Galaxy Annual,4.99,Marvel,51828.0
Superman,3.99,DC,50383.0
All New Captain America,3.99,Marvel,50077.0
Batman Eternal,2.99,DC,48999.0
Batman Eternal,2.99,DC,48683.0
Batman Eternal,2.99,DC,48083.0
Batman Eternal,2.99,DC,48035.0
Batman Eternal,2.99,DC,47782.0
Multiversity Thunderworld,4.99,DC,47714.0
Avengers,3.99,Marvel,47062.0
Batgirl,2.99,DC,45060.0
Batman Superman,3.99,DC,44714.0
Spider-Woman,3.99,Marvel,44618.0
Secret Six,2.99,DC,44065.0
All New X-Men Annual,4.99,Marvel,44052.0
Green Lantern,2.99,DC,44033.0
Uncanny X-Men Annual,4.99,Marvel,43978.0
Deadpool,3.99,Marvel,43433.0
Wytches,2.99,Image,43240.0
Wonder Woman,2.99,DC,43066.0
Grayson,2.99,DC,42611.0
Deadpool,3.99,Marvel,42198.0
Superman Wonder Woman,3.99,DC,41231.0
Rocket Raccoon,3.99,Marvel,41154.0
Thanos Vs Hulk,3.99,Marvel,39862.0
New Avengers,3.99,Marvel,39855.0
Action Comics,3.99,DC,39168.0
Bitch Planet,3.5,Image,39011.0
Superior Iron Man,3.99,Marvel,38806.0
Flash,2.99,DC,37026.0
Death of Wolverine Logan Legacy,3.99,Marvel,36647.0
Outcast By Kirkman & Azaceta,2.99,Image,36354.0
Hawkeye Vs Deadpool,3.99,Marvel,36162.0
