title,price,publisher,units
X-Men ,3.99,Marvel,140332.0
Brightest Day ,2.99,DC,94684.0
Batman Return of Bruce Wayne ,3.99,DC,88020.0
Avengers ,3.99,Marvel,87410.0
Batman and Robin ,2.99,DC,85804.0
Green Lantern ,2.99,DC,84164.0
New Avengers ,3.99,Marvel,83397.0
Brightest Day ,2.99,DC,77796.0
Batman ,2.99,DC,76398.0
Secret Avengers ,3.99,Marvel,72293.0
Amazing Spider-Man ,3.99,Marvel,68271.0
Green Lantern Corps ,2.99,DC,67035.0
Uncanny X-Men ,3.99,Marvel,66723.0
X-Men Second Coming ,3.99,Marvel,65863.0
Flash ,2.99,DC,64832.0
Batman Odyssey ,3.99,DC,61827.0
X-Force ,2.99,Marvel,61680.0
Justice League of America ,3.99,DC,60368.0
Amazing Spider-Man ,3.99,Marvel,56031.0
Amazing Spider-Man ,3.99,Marvel,56011.0
Shadowland ,3.99,Marvel,54911.0
Superman ,2.99,DC,54506.0
Thor ,3.99,Marvel,53373.0
X-Men Legacy ,2.99,Marvel,53313.0
Steve Rogers Super-Soldier ,3.99,Marvel,52727.0
Justice Society of America ,2.99,DC,48858.0
Invincible Iron Man ,2.99,Marvel,48690.0
Ultimate Comics New Ultimates ,3.99,Marvel,47840.0
Ultimate Comics Avengers 2 ,3.99,Marvel,46886.0
Uncanny X-Men Heroic Age ,3.99,Marvel,44658.0
Green Arrow ,2.99,DC,44118.0
Birds of Prey ,2.99,DC,43420.0
Dark Wolverine ,2.99,Marvel,42522.0
Avengers Childrens Crusade ,3.99,Marvel,41808.0
X-Force Sex and Violence ,3.99,Marvel,41426.0
Detective Comics ,3.99,DC,40371.0
Justice League Generation Lost ,2.99,DC,40370.0
Wonder Woman ,2.99,DC,39672.0
Justice League Generation Lost ,2.99,DC,39190.0
Daredevil ,2.99,Marvel,38438.0
Avengers Academy ,2.99,Marvel,38061.0
Ultimate Comics Spider-Man ,3.99,Marvel,37879.0
Deadpool ,3.99,Marvel,36828.0
Wolverine Origins ,3.99,Marvel,36401.0
Legion of Super Heroes ,3.99,DC,36360.0
Red Robin ,2.99,DC,35652.0
Fantastic Four ,2.99,Marvel,35505.0
New Mutants ,2.99,Marvel,35426.0
Action Comics ,3.99,DC,35328.0
Brightest Day the Atom Special ,2.99,DC,35203.0
Astonishing Spider-Man Wolverine ,3.99,Marvel,34704.0
Time Masters Vanishing Point ,3.99,DC,34509.0
X-Men Hellbound ,3.99,Marvel,33783.0
Ultimate Comics Mystery ,3.99,Marvel,33676.0
Batman Widening Gyre ,4.99,DC,33391.0
X-Factor ,2.99,Marvel,32082.0
Scarlet ,3.95,Marvel,32015.0
Thanos Imperative ,3.99,Marvel,31888.0
X-Men Origins Deadpool ,3.99,Marvel,31522.0
Titans ,2.99,DC,31505.0
Thunderbolts ,2.99,Marvel,31501.0
Batman Beyond ,2.99,DC,31397.0
Adventure Comics ,3.99,DC,30897.0
Superman Batman ,2.99,DC,30847.0
True Blood ,3.99,IDW,30296.0
Wolverine Weapon X ,3.99,Marvel,29555.0
X-Women ,4.99,Marvel,29032.0
Walking Dead ,3.99,Image,28667.0
Fantastic Four Annual ,4.99,Marvel,28464.0
Deadpool Merc With A Mouth ,3.99,Marvel,28454.0
Batgirl ,2.99,DC,28011.0
