title,price,publisher,units
Rocket Raccoon,3.99,Marvel,293913.0
Batman,4.99,DC,117996.0
Amazing Spider-Man,3.99,Marvel,117917.0
Original Sin,3.99,Marvel,91420.0
Spider-Man 2099,3.99,Marvel,90690.0
Original Sin,3.99,Marvel,89324.0
Justice League,3.99,DC,88179.0
Grayson,2.99,DC,81433.0
Legendary Star Lord,3.99,Marvel,78501.0
Harley Quinn,2.99,DC,76827.0
Amazing Spider-Man,3.99,Marvel,74285.0
Walking Dead,2.99,Image,72908.0
Sandman Overture,3.99,DC,72563.0
Superman Unchained,3.99,DC,69523.0
Batman Superman,3.99,DC,68345.0
Harley Quinn Invades Comic Con Intl San Diego,4.99,DC,64978.0
Batman Eternal,2.99,DC,63828.0
Batman Eternal,2.99,DC,63138.0
Superman,3.99,DC,62998.0
Guardians of Galaxy,3.99,Marvel,62986.0
Detective Comics,3.99,DC,62856.0
Batman Eternal,2.99,DC,62137.0
Batman Eternal,2.99,DC,61149.0
Robin Rises Omega,4.99,DC,60488.0
Batman Eternal,2.99,DC,60013.0
All New X-Men,3.99,Marvel,58817.0
Life With Archie,4.99,Archie,57054.0
Avengers,3.99,Marvel,56595.0
Batman And Robin,2.99,DC,56269.0
Saga,2.99,Image,55893.0
Uncanny X-Men,3.99,Marvel,55738.0
Outcast By Kirkman & Azaceta,2.99,Image,55126.0
Deadpool Vs X-Force,3.99,Marvel,54762.0
Uncanny X-Men,3.99,Marvel,53677.0
Teen Titans,2.99,DC,52358.0
Avengers,3.99,Marvel,51874.0
Superman Wonder Woman,3.99,DC,50254.0
Uncanny Avengers,3.99,Marvel,50253.0
Deadpool,3.99,Marvel,49930.0
Action Comics,3.99,DC,49457.0
New Suicide Squad,2.99,DC,49260.0
Life With Archie Comic,4.99,Archie,48842.0
Original Sin,3.99,Marvel,48596.0
Justice League United,3.99,DC,47919.0
Wolverine,3.99,Marvel,47813.0
Storm,3.99,Marvel,47566.0
New 52 Futures End,2.99,DC,47348.0
Green Lantern,2.99,DC,47279.0
Deadpool,3.99,Marvel,46829.0
100th Anniversary Special: Spider-Man,3.99,Marvel,46386.0
Original Sin,3.99,Marvel,46110.0
Deadpool Vs X-Force,3.99,Marvel,45047.0
