title,price,publisher,units
Origin II,4.99,Marvel,131724.0
Avengers,4.99,Marvel,127466.0
Batman,3.99,DC,119443.0
Forever Evil,3.99,DC,99351.0
Superman Unchained,3.99,DC,96322.0
Justice League,3.99,DC,94004.0
Harley Quinn,2.99,DC,92153.0
Justice League,3.99,DC,90592.0
Inhumanity,3.99,Marvel,77519.0
Superior Spider-Man,3.99,Marvel,77105.0
Superior Spider-Man,3.99,Marvel,76131.0
Batman Superman,3.99,DC,68857.0
All New X-Men,3.99,Marvel,68189.0
Walking Dead,2.99,Image,68020.0
Amazing Spider-Man,3.99,Marvel,65775.0
Justice League of America,3.99,DC,65678.0
Uncanny X-Men,3.99,Marvel,62692.0
Amazing Spider-Man,3.99,Marvel,61233.0
Amazing X-Men,3.99,Marvel,60870.0
Amazing Spider-Man,3.99,Marvel,60513.0
Amazing Spider-Man,3.99,Marvel,59142.0
Amazing Spider-Man,3.99,Marvel,59083.0
Justice League 3000,2.99,DC,57726.0
Guardians of Galaxy,3.99,Marvel,57665.0
Uncanny Avengers,3.99,Marvel,57035.0
New Avengers,3.99,Marvel,56624.0
Detective Comics,3.99,DC,56538.0
Guardians of Galaxy,3.99,Marvel,53527.0
Saga,2.99,Image,53264.0
X-Men,3.99,Marvel,53201.0
Green Lantern,2.99,DC,51420.0
Superman Wonder Woman,3.99,DC,51357.0
Damian Son of Batman,3.99,DC,47389.0
Avengers Annual 2013,4.99,Marvel,47349.0
The Star Wars (Lucas Draft),3.99,Dark Horse,47292.0
Batman And Two Face,2.99,DC,46611.0
Deadpool,2.99,Marvel,43653.0
Deadpool,2.99,Marvel,43066.0
The Star Wars (Lucas Draft),3.99,Dark Horse,40531.0
Batman The Dark Knight,2.99,DC,39980.0
Forever Evil Arkham War,2.99,DC,39919.0
Thor God of Thunder,3.99,Marvel,39597.0
Wolverine And X-Men,3.99,Marvel,39063.0
Aquaman,2.99,DC,38841.0
Nightwing,2.99,DC,38452.0
Action Comics,3.99,DC,37489.0
Earth 2,2.99,DC,37130.0
Superman,2.99,DC,36877.0
Flash,2.99,DC,36601.0
Justice League Dark,3.99,DC,36353.0
Mighty Avengers,3.99,Marvel,35740.0
Indestructible Hulk,3.99,Marvel,35679.0
Batgirl,2.99,DC,34885.0
Captain America,3.99,Marvel,34532.0
Cataclysm Ultimates Last Stand,3.99,Marvel,33348.0
Star Wars,2.99,Dark Horse,33093.0
Green Lantern Corps,2.99,DC,32797.0
Wonder Woman,2.99,DC,32773.0
Iron Man,3.99,Marvel,32537.0
Daredevil,2.99,Marvel,32331.0
Wolverine,3.99,Marvel,32274.0
East of West,3.5,Image,31059.0
Indestructible Hulk Annual,4.99,Marvel,30846.0
Batman Black & White,4.99,DC,30577.0
Green Lantern New Guardians,2.99,DC,30489.0
Cataclysm Ultimate Spider-Man,3.99,Marvel,30293.0
Teen Titans,2.99,DC,29149.0
Nova,3.99,Marvel,27982.0
Cable And X-Force,3.99,Marvel,27712.0
Fantastic Four,2.99,Marvel,27610.0
Uncanny X-Force,3.99,Marvel,27567.0
Savage Wolverine,3.99,Marvel,27490.0
Forever Evil Rogues Rebellion,2.99,DC,27363.0
Legenderry A Steampunk Adv,3.99,Dynamite,27174.0
Catwoman,2.99,DC,26482.0
Red Lanterns,2.99,DC,26242.0
Inhumanity Awakening,3.99,Marvel,25582.0
Velvet,2.99,Image,25549.0
Superior Spider-Man Team Up,3.99,Marvel,25514.0
Red Hood And The Outlaws,2.99,DC,25382.0
Suicide Squad,2.99,DC,25346.0
Thunderbolts,2.99,Marvel,24959.0
Cataclysm Ultimates,3.99,Marvel,24819.0
Green Arrow,2.99,DC,24687.0
Batman 66,3.99,DC,24374.0
Superior Spider-Man Team Up,3.99,Marvel,24296.0
Avengers Assemble,3.99,Marvel,24168.0
Secret Avengers,3.99,Marvel,23863.0
Batwoman,2.99,DC,23311.0
Secret Avengers,3.99,Marvel,23172.0
Young Avengers,2.99,Marvel,23019.0
My Little Pony Friendship Is Magic,3.99,IDW,22990.0
Marvel Knights Spider-Man,3.99,Marvel,22878.0
Forever Evil Argus,2.99,DC,22758.0
Lazarus,2.99,Image,22695.0
Young Avengers,2.99,Marvel,22692.0
Supergirl,2.99,DC,22646.0
Marvel Knights X-Men,3.99,Marvel,22549.0
Cataclysm Ultimate X-Men,3.99,Marvel,22508.0
Constantine,2.99,DC,22403.0
Marvel Knights Hulk,3.99,Marvel,22169.0
FF,2.99,Marvel,22034.0
Injustice Gods Among Us,3.99,DC,21871.0
Twilight Zone,3.99,Dynamite,21723.0
Scarlet Spider,3.99,Marvel,21627.0
Superior Foes of Spider-Man,2.99,Marvel,21367.0
DC Vs Masters of The Universe,2.99,DC,21325.0
Pretty Deadly,3.5,Image,21079.0
Worlds Finest,2.99,DC,21039.0
Hellboy In Hell,2.99,Dark Horse,21026.0
Captain America Living Legend,3.99,Marvel,20938.0
Superior Foes of Spider-Man,2.99,Marvel,20858.0
Thunderbolts Annual 2013,4.99,Marvel,20840.0
Trinity of Sin Pandora,2.99,DC,20563.0
Swamp Thing,2.99,DC,20247.0
Black Science,3.5,Image,20151.0
Trillium,2.99,DC,20035.0
My Little Pony Micro Series,3.99,IDW,19967.0
Avengers Ai,2.99,Marvel,19879.0
Dead Boy Detectives,2.99,DC,19525.0
Unity,3.99,Valiant,18845.0
Animal Man,2.99,DC,18823.0
Trinity of Sin The Phantom Stranger,2.99,DC,18649.0
A Plus X,3.99,Marvel,18648.0
X-Men Legacy,2.99,Marvel,18574.0
Saviors,2.99,Image,17894.0
Superboy,2.99,DC,17690.0
Birds of Prey,2.99,DC,17497.0
Locke & Key Alpha,7.99,IDW,16936.0
Dead Body Road,2.99,Image,16840.0
Talon,2.99,DC,16373.0
Daredevil Dark Nights,2.99,Marvel,15996.0
Batman Beyond Universe,3.99,DC,15857.0
Star Wars Darth Vader & Cry of Shadows,3.5,Dark Horse,15847.0
Manhattan Projects,3.5,Image,15646.0
Adventure Time,3.99,Boom,15635.0
TMNT Ongoing,3.99,IDW,15532.0
Ten Grand,2.99,Image,15366.0
Astro City,3.99,DC,15360.0
Larfleeze,2.99,DC,15081.0
X-Files Season 10,3.99,IDW,14792.0
True Lives of the Fabulous Killjoys,3.99,Dark Horse,14762.0
He Man And The Masters of The Universe,2.99,DC,14465.0
Fearless Defenders,3.99,Marvel,14252.0
Fables,2.99,DC,14220.0
Wolverine Max,3.99,Marvel,14118.0
Star Wars Legacy II,2.99,Dark Horse,13783.0
Doc Savage,3.99,Dynamite,13631.0
Longshot Saves Marvel Universe,2.99,Marvel,13614.0
Star Wars Dawn of the Jedi Force War,3.5,Dark Horse,13531.0
All Star Western,3.99,DC,13440.0
God Is Dead,3.99,Avatar,13369.0
Red Sonja,3.99,Dynamite,13291.0
Invincible,2.99,Image,13268.0
Satellite Sam,3.5,Image,13060.0
Terminator Salvation Final Battle,3.99,Dark Horse,13022.0
Smallville Season 11 Alien,3.99,DC,13019.0
Longshot Saves Marvel Universe,2.99,Marvel,12854.0
TMNT Villain Microseries,3.99,IDW,12829.0
Manifest Destiny,2.99,Image,12801.0
Fairest,2.99,DC,12718.0
Spawn,2.99,Image,12459.0
Teen Titans Go,2.99,DC,12219.0
Sons of Anarchy,3.99,Boom,12215.0
Adventures of Superman,3.99,DC,12142.0
Adventure Time Candy Capers,3.99,Boom,12070.0
