title,price,publisher,units
Superman Unchained,3.99,DC,165754.0
Batman,3.99,DC,132047.0
Guardians of Galaxy,3.99,Marvel,110372.0
Justice League,3.99,DC,110194.0
Batman Annual,4.99,DC,101726.0
Batman Superman,3.99,DC,92558.0
Justice League of America,3.99,DC,86192.0
Superior Spider-Man,3.99,Marvel,81678.0
Superior Spider-Man,3.99,Marvel,80839.0
Superior Spider-Man Team Up,3.99,Marvel,76959.0
All New X-Men,3.99,Marvel,74848.0
Walking Dead,2.99,Image,72975.0
Avengers,3.99,Marvel,72842.0
Hunger,3.99,Marvel,70835.0
Uncanny X-Men,3.99,Marvel,70274.0
Uncanny Avengers,3.99,Marvel,68768.0
Avengers,3.99,Marvel,68472.0
Avengers AI,2.99,Marvel,68130.0
Uncanny X-Men,3.99,Marvel,67338.0
X-Men,3.99,Marvel,65270.0
Detective Comics,3.99,DC,63949.0
Green Lantern,2.99,DC,62415.0
Justice League Dark,3.99,DC,61465.0
Superior Foes of Spider-Man,2.99,Marvel,61413.0
New Avengers,3.99,Marvel,58044.0
Batman And Catwoman,2.99,DC,57808.0
Thanos Rising,3.99,Marvel,57460.0
All New Fathom,1.0,Aspen,54379.0
Deadpool Kills Deadpool,2.99,Marvel,53066.0
Batman Incorporated,2.99,DC,52595.0
Detective Comics Annual,4.99,DC,52245.0
Batman Incorporated,2.99,DC,51558.0
Batman 66,3.99,DC,50430.0
Superior Carnage,3.99,Marvel,48053.0
Batman The Dark Knight,2.99,DC,47096.0
Deadpool,2.99,Marvel,47006.0
Thor God of Thunder,3.99,Marvel,46204.0
Aquaman,2.99,DC,45653.0
Indestructible Hulk,3.99,Marvel,45531.0
Indestructible Hulk,3.99,Marvel,45241.0
Action Comics,3.99,DC,44861.0
East of West,3.5,Image,43228.0
Superman,2.99,DC,42961.0
Wolverine And X-Men,3.99,Marvel,42269.0
Green Lantern Corps,2.99,DC,42194.0
Nightwing,2.99,DC,42073.0
Earth 2,2.99,DC,42022.0
Star Wars,2.99,Dark Horse,41611.0
Savage Wolverine,3.99,Marvel,40946.0
Hawkeye,2.99,Marvel,40837.0
Captain America,3.99,Marvel,40796.0
Green Lantern New Guardians,2.99,DC,40788.0
Wolverine,3.99,Marvel,40593.0
Iron Man,3.99,Marvel,40405.0
Iron Man,3.99,Marvel,39534.0
Batgirl,2.99,DC,39218.0
Flash,2.99,DC,38993.0
Wolverine,3.99,Marvel,38605.0
Uncanny X-Force,3.99,Marvel,37781.0
Hawkeye Annual,4.99,Marvel,37509.0
Uncanny X-Force,3.99,Marvel,36978.0
Superman Annual,4.99,DC,36943.0
Wonder Woman,2.99,DC,35539.0
Daredevil,2.99,Marvel,35364.0
Red Lanterns,2.99,DC,35236.0
My Little Pony Friendship Is Magic,3.99,IDW,35153.0
Trinity of Sin Pandora,2.99,DC,35106.0
Daredevil,2.99,Marvel,34915.0
