title,price,publisher,units
Amazing Spider-Man,3.99,Marvel,148778.0
Batman,3.99,DC,111333.0
New Avengers,4.99,Marvel,106812.0
Thor,4.99,Marvel,96700.0
Dark Avengers,3.99,Marvel,93536.0
Hulk,3.99,Marvel,77203.0
Mighty Avengers,3.99,Marvel,76233.0
Mighty Avengers,2.99,Marvel,72852.0
Uncanny X-Men,2.99,Marvel,71671.0
Justice League of America,2.99,DC,69698.0
Green Lantern,2.99,DC,68896.0
Buffy The Vampire Slayer,2.99,Dark Horse,67563.0
Justice Society of America,2.99,DC,65196.0
Captain America,2.99,Marvel,62838.0
Final Crisis Legion of Three Worlds,3.99,DC,61347.0
Amazing Spider-Man,2.99,Marvel,60275.0
Amazing Spider-Man,2.99,Marvel,60107.0
Amazing Spider-Man,2.99,Marvel,59510.0
Secret Warriors,3.99,Marvel,57694.0
X-Men Legacy,2.99,Marvel,56507.0
Invincible Iron Man,2.99,Marvel,51640.0
X-Force,2.99,Marvel,51440.0
Ultimate Spider-Man,2.99,Marvel,49556.0
Fantastic Four,2.99,Marvel,49511.0
Action Comics,2.99,DC,48352.0
Avengers Invaders,2.99,Marvel,48311.0
Dark Tower Treachery,3.99,Marvel,48119.0
Superman,2.99,DC,48019.0
Avengers Initiative,2.99,Marvel,46924.0
Black Panther 2,3.99,Marvel,46691.0
Thunderbolts,2.99,Marvel,45392.0
Wolverine Origins,2.99,Marvel,44927.0
Green Lantern Corps,2.99,DC,44599.0
Deadpool,2.99,Marvel,44074.0
Superman Batman,2.99,DC,43954.0
Nightwing,2.99,DC,37644.0
Ultimate Fantastic Four,3.99,Marvel,37260.0
X-Infernus,3.99,Marvel,36740.0
Punisher,2.99,Marvel,36519.0
Titans,2.99,DC,36355.0
Trinity,2.99,DC,36195.0
Trinity,2.99,DC,35792.0
Batman and the Outsiders Special,3.99,DC,35721.0
Trinity,2.99,DC,35280.0
Trinity,2.99,DC,35194.0
Teen Titans,2.99,DC,35090.0
Supergirl,2.99,DC,34219.0
War Machine,2.99,Marvel,33812.0
Wonder Woman,2.99,DC,33231.0
Adventure Comics,1.0,DC,32845.0
Angel,3.99,IDW,32836.0
X-Men Kingbreaker,3.99,Marvel,32469.0
Angel,3.99,IDW,32056.0
X-Factor,2.99,Marvel,31938.0
Cable,2.99,Marvel,31812.0
Robin,2.99,DC,31677.0
X-Men Vs Hulk,3.99,Marvel,31008.0
Incredible Hercules,3.99,Marvel,30995.0
Agents of Atlas,3.99,Marvel,30256.0
Outsiders,2.99,DC,30019.0
Skaar Son of Hulk,2.99,Marvel,28766.0
Guardians of Galaxy,2.99,Marvel,27643.0
Wolverine Manifest Destiny,2.99,Marvel,27089.0
X-Men Noir,3.99,Marvel,27049.0
Astonishing Tales,3.99,Marvel,27025.0
Boys,2.99,Dynamic,25977.0
Ms Marvel,2.99,Marvel,25859.0
Spider-Man Noir,3.99,Marvel,25814.0
Young X-Men,2.99,Marvel,25596.0
War of Kings Darkhawk,3.99,Marvel,25580.0
Star Wars Legacy,2.99,Dark Horse,25384.0
Nova,2.99,Marvel,25060.0
Secret Six,2.99,DC,24753.0
Booster Gold,2.99,DC,24727.0
Rebels,2.99,DC,23734.0
G.I. Joe,3.99,IDW,23636.0
Brave and The Bold,2.99,DC,23503.0
Green Arrow Black Canary,2.99,DC,23388.0
Immortal Iron Fist,2.99,Marvel,23255.0
X-Men Origins Sabretooth,3.99,Marvel,22998.0
Incognito,3.5,Marvel,22958.0
Walking Dead,2.99,Image,22716.0
Fables,2.99,DC,22513.0
X-Men Lives and Times of Lucas Bishop,3.99,Marvel,22271.0
Punisher Frank Castle Max,3.99,Marvel,22263.0
Savage Dragon,3.5,Image,22143.0
Gi Joe Origins,3.99,IDW,21971.0
Hellboy Wild Hunt,2.99,Dark Horse,21660.0
Terror Titans,2.99,DC,21636.0
Birds of Prey,2.99,DC,21420.0
Moon Knight,2.99,Marvel,21409.0
Ghost Rider,2.99,Marvel,21347.0
X-Men Magneto Testament,3.99,Marvel,21341.0
Umbrella Academy Dallas,2.99,Dark Horse,21100.0
Spawn,2.95,Image,21075.0
Conan The Cimmerian,2.99,Dark Horse,20979.0
Marvels Eye of Camera,3.99,Marvel,20905.0
Captain Britain and M.I. 13,2.99,Marvel,20623.0
Batman Confidential,2.99,DC,20130.0
Sandman Dream Hunters,2.99,DC,20105.0
Runaways 3,2.99,Marvel,19680.0
Masquerade,3.5,Dynamic,19654.0
Dark Reign Files,4.99,Marvel,19103.0
Angel Smile Time,3.99,IDW,18810.0
Star Wars Knights of the Old Republic,2.99,Dark Horse,18537.0
She-Hulk 2,3.99,Marvel,18083.0
Mighty,2.99,DC,17953.0
New Exiles,2.99,Marvel,17922.0
Youngblood,2.99,Image,16767.0
