title,price,publisher,units
Harley Quinn,2.99,DC,359957.0
All Star Batman,4.99,DC,289348.0
Suicide Squad,2.99,DC,217672.0
Amazing Spider-Man,3.99,Marvel,185342.0
Suicide Squad Rebirth,2.99,DC,177806.0
Batman,2.99,DC,152985.0
Batman,2.99,DC,142142.0
Justice League,2.99,DC,127402.0
Harley Quinn,2.99,DC,116651.0
Supergirl Rebirth,2.99,DC,112807.0
Justice League,2.99,DC,110738.0
Deathstroke Rebirth,2.99,DC,99318.0
Walking Dead,2.99,Image,97689.0
Nightwing,2.99,DC,93131.0
Flash,2.99,DC,92916.0
Superwoman,2.99,DC,92081.0
Detective Comics,2.99,DC,88935.0
Superman,2.99,DC,88154.0
Wonder Woman,2.99,DC,85329.0
Star Wars,3.99,Marvel,85126.0
Red Hood and the Outlaws,2.99,DC,83849.0
Black Panther,3.99,Marvel,83756.0
Deathstroke,2.99,DC,83602.0
Flash,2.99,DC,83482.0
Nightwing,2.99,DC,81555.0
Detective Comics,2.99,DC,81465.0
Superman,2.99,DC,81339.0
Hal Jordan and the Green Lantern Corps,2.99,DC,77972.0
Wonder Woman,2.99,DC,77860.0
Batgirl and the Birds of Prey,2.99,DC,75892.0
Darth Vader,3.99,Marvel,75401.0
Amazing Spider-Man,3.99,Marvel,74869.0
Blue Beetle Rebirth,2.99,DC,72993.0
Titans,2.99,DC,72799.0
New Super Man,2.99,DC,72522.0
Action Comics,2.99,DC,71821.0
Green Lanterns,2.99,DC,71140.0
Spider-Man Deadpool,3.99,Marvel,69519.0
Star Wars Han Solo,3.99,Marvel,67816.0
Green Arrow,2.99,DC,67577.0
Fallen,4.99,Marvel,66578.0
Hal Jordan and the Green Lantern Corps,2.99,DC,64737.0
Action Comics,2.99,DC,64328.0
Green Lanterns,2.99,DC,64252.0
Green Arrow,2.99,DC,63209.0
Batgirl,2.99,DC,62374.0
Accused,4.99,Marvel,62363.0
Aquaman,2.99,DC,61492.0
Hellblazer,2.99,DC,59734.0
Deadpool,3.99,Marvel,57681.0
Deadpool,3.99,Marvel,55577.0
Aquaman,2.99,DC,54929.0
Star Wars Poe Dameron,3.99,Marvel,52581.0
Old Man Logan,3.99,Marvel,52175.0
Invincible Iron Man,3.99,Marvel,50571.0
Doctor Strange,3.99,Marvel,50083.0
Saga,2.99,Image,50016.0
Captain America Steve Rogers,4.99,Marvel,49559.0
Spider-Man,3.99,Marvel,47678.0
All New All Different Avengers,3.99,Marvel,46257.0
All New All Different Avengers Annual,4.99,Marvel,45992.0
Mighty Thor,3.99,Marvel,45929.0
Extraordinary X-Men,3.99,Marvel,45037.0
Justice League of America,3.99,DC,44700.0
Civil War II Amazing Spider-Man,3.99,Marvel,44471.0
Punisher,3.99,Marvel,44154.0
Civil War II Choosing Sides,3.99,Marvel,43768.0
Uncanny X-Men,3.99,Marvel,42779.0
Deadpool Vs Gambit,3.99,Marvel,42561.0
Star Wars Force Awakens Adaptation,3.99,Marvel,41575.0
Daredevil,3.99,Marvel,40775.0
All New Wolverine,3.99,Marvel,40312.0
Daredevil Annual,4.99,Marvel,39635.0
Uncanny Avengers,3.99,Marvel,39337.0
All New X-Men,3.99,Marvel,39289.0
Harleys Little Black Book,4.99,DC,38545.0
Deadpool Vs Gambit,3.99,Marvel,38173.0
All New Wolverine Annual,4.99,Marvel,38106.0
Civil War II X-Men,3.99,Marvel,37976.0
Moon Knight,3.99,Marvel,37934.0
Uncanny Avengers,3.99,Marvel,37908.0
Deadpool And Mercs For Money,3.99,Marvel,36571.0
Spider-Gwen,3.99,Marvel,36212.0
Guardians of Galaxy,3.99,Marvel,34914.0
Tmnt Universe,4.99,IDW,34471.0
Paper Girls,2.99,Image,33731.0
Harley Quinn And Her Gang of Harleys,3.99,DC,31727.0
Civil War II Choosing Sides,3.99,Marvel,31464.0
Uncanny Inhumans,3.99,Marvel,31357.0
Marvel Tsum Tsum,3.99,Marvel,30515.0
Captain America Sam Wilson,3.99,Marvel,30479.0
Gwenpool,3.99,Marvel,30232.0
Kill or Be Killed,3.99,Image,30050.0
Harley Quinn And Her Gang of Harleys,3.99,DC,29616.0
Ms Marvel,3.99,Marvel,29395.0
Daredevil Punisher,4.99,Marvel,29225.0
Civil War Ii Kingpin,3.99,Marvel,28720.0
International Iron Man,3.99,Marvel,28337.0
Spawn Kills Everyone One Shot,2.99,Image,28227.0
Scooby Apocalypse,3.99,DC,28148.0
A-Force,3.99,Marvel,27743.0
New Avengers,3.99,Marvel,27140.0
Ultimates,3.99,Marvel,26848.0
Black Monday Murders,4.99,Image,26696.0
Suicide Squad War Crimes Special,4.99,DC,25518.0
Future Quest,3.99,DC,25472.0
Civil War II Ulysses,4.99,Marvel,25230.0
Mighty Morphin Power Rangers,3.99,Boom,25161.0
Uncanny Inhumans Annual,4.99,Marvel,25074.0
Power Man And Iron Fist,3.99,Marvel,24163.0
Black Widow,3.99,Marvel,24106.0
Civil War II Gods of War,3.99,Marvel,23944.0
Snotgirl,2.99,Image,23830.0
Captain Marvel,3.99,Marvel,23024.0
Astonishing Ant-Man,3.99,Marvel,22836.0
Spider-Man 2099,3.99,Marvel,22793.0
I Hate Fairyland,3.5,Image,22562.0
X-Men 92,3.99,Marvel,22175.0
Outcast By Kirkman & Azaceta,2.99,Image,21919.0
Spider-Man 2099,3.99,Marvel,21908.0
Silk,3.99,Marvel,21833.0
Tokyo Ghost,3.99,Image,20860.0
Carnage,3.99,Marvel,20709.0
Rocket Raccoon And Groot,3.99,Marvel,20646.0
Vision,3.99,Marvel,20523.0
Tokyo Ghost,3.99,Image,20355.0
Briggs Land,3.99,Dark Horse,20228.0
Flintstones,3.99,DC,19612.0
Spider-Woman,3.99,Marvel,19251.0
Squadron Supreme,3.99,Marvel,19119.0
Teen Titans,2.99,DC,19118.0
Silver Surfer,4.99,Marvel,18991.0
Suicide Squad Most Wanted El Diablo & Boomerang,4.99,DC,18660.0
Afterlife With Archie,4.99,Archie,18450.0
Spidey,3.99,Marvel,18348.0
Thunderbolts,3.99,Marvel,18128.0
Mighty Morphin Power Rangers 2016 Annual,7.99,Boom,18036.0
Batman Beyond,2.99,DC,17882.0
Invader Zim,3.99,Oni,17697.0
DC Comics Bombshells,3.99,DC,17623.0
Venom Space Knight,3.99,Marvel,17548.0
Descender,2.99,Image,17296.0
Scarlet Witch,3.99,Marvel,17000.0
Empress,3.99,Marvel,16954.0
Earth 2 Society,2.99,DC,16884.0
Tmnt Ongoing,3.99,IDW,16747.0
Lady Killer 2,3.99,Dark Horse,16665.0
East of West,3.99,Image,16613.0
DC Comics Bombshells Annual,4.99,DC,16469.0
Vote Loki,3.99,Marvel,16383.0
All New Inhumans,3.99,Marvel,16277.0
Generation Zero,3.99,Valiant,16270.0
Black Hammer,3.99,Dark Horse,16201.0
Jupiters Legacy Vol. 2,3.99,Image,16111.0
Wicked & Divine,3.5,Image,15969.0
Spawn,2.99,Image,15927.0
Mockingbird,3.99,Marvel,15690.0
Agents of Shield,3.99,Marvel,15519.0
Earth 2 Society Annual,4.99,DC,15431.0
Six Pack & Dog Welder Hard Travelin Heroez,3.99,DC,15165.0
Rom,3.99,IDW,14816.0
Legend of Wonder Woman,3.99,DC,14790.0
Nova,3.99,Marvel,14766.0
Archie,3.99,Archie,14765.0
Demonic,2.99,Image,14442.0
Web Warriors,3.99,Marvel,14066.0
Howard The Duck,3.99,Marvel,14062.0
Unbeatable Squirrel Girl,3.99,Marvel,13872.0
