title,price,publisher,units
Justice League,3.99,DC,135374.0
Batman,2.99,DC,128459.0
Action Comics,3.99,DC,96592.0
Detective Comics,2.99,DC,94415.0
Green Lantern,2.99,DC,94087.0
Batman The Dark Knight,2.99,DC,77140.0
Superman,2.99,DC,69633.0
Flash,2.99,DC,68061.0
Aquaman,2.99,DC,63450.0
Batman And Robin,2.99,DC,63093.0
Uncanny X-Men,3.99,Marvel,59834.0
Uncanny X-Men,3.99,Marvel,59200.0
Wolverine And X-Men,3.99,Marvel,55788.0
Wolverine And X-Men,3.99,Marvel,55341.0
Wonder Woman,2.99,DC,54190.0
New Avengers,3.99,Marvel,54105.0
Avengers X-Sanction,3.99,Marvel,53730.0
Teen Titans,2.99,DC,53123.0
Avengers,3.99,Marvel,52683.0
Amazing Spider-Man,3.99,Marvel,52564.0
Avengers,3.99,Marvel,52222.0
Amazing Spider-Man,3.99,Marvel,51872.0
New Avengers,3.99,Marvel,51235.0
Winter Soldier,2.99,Marvel,50932.0
Uncanny X-Force,3.99,Marvel,50654.0
Amazing Spider-Man,2.99,Marvel,50624.0
Green Lantern New Guardians,2.99,DC,50319.0
Uncanny X-Force,3.99,Marvel,49665.0
Batwoman,2.99,DC,49227.0
Batgirl,2.99,DC,47836.0
Nightwing,2.99,DC,47732.0
Green Lantern Corps,2.99,DC,46051.0
Avenging Spider-Man,3.99,Marvel,45622.0
Ultimate Comics Spider-Man,3.99,Marvel,45266.0
Captain America,3.99,Marvel,43487.0
Incredible Hulk,3.99,Marvel,42760.0
Fantastic Four,2.99,Marvel,42419.0
Swamp Thing,2.99,DC,41235.0
Winter Soldier,2.99,Marvel,41164.0
FF,2.99,Marvel,40583.0
Secret Avengers,3.99,Marvel,39337.0
Red Lanterns,2.99,DC,39105.0
Wolverine,3.99,Marvel,38462.0
Daredevil,2.99,Marvel,37891.0
Catwoman,2.99,DC,37302.0
Secret Avengers,3.99,Marvel,37140.0
X-Men,3.99,Marvel,36906.0
X-Men,3.99,Marvel,36488.0
X-Men Legacy,2.99,Marvel,36461.0
Deadpool,3.99,Marvel,36392.0
Red Hood And The Outlaws,2.99,DC,35908.0
Mighty Thor,3.99,Marvel,35066.0
Supergirl,2.99,DC,34847.0
Animal Man,2.99,DC,34654.0
Justice League Dark,2.99,DC,34524.0
Wolverine And X-Men Alpha And Omega,3.99,Marvel,34286.0
Ultimate Comics Ultimates,3.99,Marvel,33863.0
Scarlet Spider,2.99,Marvel,33794.0
Justice League International,2.99,DC,33781.0
Defenders,3.99,Marvel,33548.0
Venom,3.99,Marvel,33174.0
Invincible Iron Man,3.99,Marvel,32748.0
Walking Dead,2.99,Image,32361.0
Ultimate Comics X-Men,3.99,Marvel,32353.0
Superboy,2.99,DC,31068.0
Ultimate Comics X-Men,3.99,Marvel,30822.0
Astonishing X-Men,3.99,Marvel,30490.0
Buffy the Vampire Slayer Season 9 Freefall,2.99,Dark Horse,29878.0
Magic The Gathering,3.99,IDW,28858.0
Carnage USA,3.99,Marvel,28272.0
Suicide Squad,2.99,DC,27751.0
Venom,2.99,Marvel,27520.0
Deadpool,2.99,Marvel,27458.0
Birds of Prey,2.99,DC,27338.0
Venom,2.99,Marvel,27155.0
Venom,2.99,Marvel,27135.0
Green Arrow,2.99,DC,27087.0
Venom,2.99,Marvel,26969.0
Batman Beyond Unlimited,3.99,DC,26589.0
Captain America And Bucky,2.99,Marvel,26276.0
Stormwatch,2.99,DC,26076.0
Fear Itself Fearless,2.99,Marvel,24423.0
Fear Itself Fearless,2.99,Marvel,24394.0
X-Factor,2.99,Marvel,24362.0
X-Factor,2.99,Marvel,24173.0
Magic The Gathering,3.99,IDW,23849.0
All Star Western,3.99,DC,23553.0
New Mutants,2.99,Marvel,23262.0
New Mutants,2.99,Marvel,22656.0
Punisher,2.99,Marvel,22488.0
Journey Into Mystery,2.99,Marvel,22323.0
Huntress,2.99,DC,22259.0
Moon Knight,3.99,Marvel,21986.0
Avengers Academy,2.99,Marvel,21963.0
Hulk,2.99,Marvel,21751.0
Avengers Academy,2.99,Marvel,21633.0
Demon Knights,2.99,DC,21128.0
Legion of Super Heroes,2.99,DC,21085.0
Conan The Barbarian,3.5,Dark Horse,20569.0
Fatale,3.5,Image,20315.0
Thunderbolts,2.99,Marvel,19505.0
Batwing,2.99,DC,19479.0
Savage Hawkman,2.99,DC,19184.0
Deathstroke,2.99,DC,19175.0
Batman Odyssey Vol 2,3.99,DC,19013.0
Star Wars Dawn of the Jedi Force Storm,3.5,Dark Horse,18797.0
Teenage Mutant Ninja Turtles Ongoing,3.99,IDW,18769.0
