title,price,publisher,units
Ultimate Spider-Man,3.99,Marvel,159355.0
Fear Itself,3.99,Marvel,95621.0
Flashpoint,3.99,DC,87505.0
Avengers,3.99,Marvel,64057.0
FF,2.99,Marvel,58925.0
New Avengers,3.99,Marvel,57682.0
Amazing Spider-Man,3.99,Marvel,57040.0
Batman Incorporated,2.99,DC,56108.0
Batman and Robin,2.99,DC,54984.0
Amazing Spider-Man,3.99,Marvel,54808.0
Uncanny X-Men,3.99,Marvel,54284.0
Green Lantern Emerald Warriors,2.99,DC,53927.0
Uncanny X-Men,3.99,Marvel,53319.0
Uncanny X-Force,3.99,Marvel,53199.0
Batman,2.99,DC,53113.0
Brightest Day Aftermath The Search,2.99,DC,51928.0
Ultimate Spider-Man,3.99,Marvel,51766.0
Secret Avengers,3.99,Marvel,49898.0
Mighty Thor,3.99,Marvel,48114.0
Alpha Flight,3.99,Marvel,46851.0
X-Men,3.99,Marvel,45786.0
Justice League of America,2.99,DC,45442.0
Flashpoint Batman Knight of Vengeance,2.99,DC,45129.0
X-Men Legacy,4.99,Marvel,45070.0
Captain America,3.99,Marvel,44796.0
X-Men,3.99,Marvel,44665.0
X-Men Legacy,2.99,Marvel,43479.0
Ultimate Avengers Vs New Ultimates,3.99,Marvel,42803.0
Wolverine,3.99,Marvel,42677.0
Invincible Iron Man,3.99,Marvel,42327.0
Action Comics,2.99,DC,41960.0
Wolverine,3.99,Marvel,41813.0
Flashpoint Abin Sur The Green Lantern,2.99,DC,41612.0
Flashpoint Hal Jordan,2.99,DC,39404.0
Detective Comics,2.99,DC,39152.0
Venom,2.99,Marvel,38946.0
Flashpoint Project Superman,2.99,DC,38045.0
Superman,2.99,DC,37362.0
Astonishing X-Men,3.99,Marvel,37127.0
Flashpoint Wonder Woman And The Furies,2.99,DC,36365.0
Flashpoint The World of Flashpoint,2.99,DC,36358.0
Flashpoint Emperor Aquaman,2.99,DC,36297.0
Journey Into Mystery,2.99,Marvel,35834.0
Moon Knight,3.99,Marvel,35333.0
Ultimate Comics X,3.99,Marvel,34730.0
Flashpoint Kid Flash Lost,2.99,DC,34148.0
Flashpoint Secret Seven,2.99,DC,33069.0
Flashpoint Citizen Cold,2.99,DC,32969.0
Flashpoint Deadman And The Flying Graysons,2.99,DC,32950.0
Flashpoint The Reverse Flash,2.99,DC,32554.0
Flashpoint Deathstroke The Curse of Ravager,2.99,DC,32188.0
Walking Dead,2.99,Image,32187.0
Flashpoint Lois Lane And The Resistance,2.99,DC,31325.0
Flashpoint Legion of Doom,2.99,DC,31244.0
Batman Arkham City,2.99,DC,31141.0
Wonder Woman,2.99,DC,30874.0
Wonder Woman,2.99,DC,30690.0
Flashpoint Frankenstein Creatures of Unknown,2.99,DC,30508.0
Avengers Childrens Crusade,3.99,Marvel,30467.0
Fear Itself Spider-Man,2.99,Marvel,30238.0
Flashpoint The Outsider,2.99,DC,30030.0
Hulk,2.99,Marvel,29391.0
Green Lantern Movie Prequel Hal Jordan,2.99,DC,29245.0
Carnage,3.99,Marvel,29106.0
Birds of Prey,2.99,DC,28992.0
Shield,3.99,Marvel,28718.0
Hulk,2.99,Marvel,28539.0
Batman Arkham City,2.99,DC,28443.0
Thunderbolts,2.99,Marvel,28422.0
Deadpool,2.99,Marvel,28400.0
Red Robin,2.99,DC,28367.0
Flashpoint Green Arrow Industries,2.99,DC,28358.0
Fear Itself Deadpool,2.99,Marvel,28227.0
Incredible Hulks,2.99,Marvel,28028.0
New Mutants,2.99,Marvel,27848.0
Deadpool,2.99,Marvel,27809.0
Batman Gates of Gotham,2.99,DC,27777.0
Superman Batman,2.99,DC,27581.0
Green Arrow,2.99,DC,27552.0
Thunderbolts,4.99,Marvel,27463.0
Incredible Hulks,2.99,Marvel,27456.0
X-Men Prelude To Schism,2.99,Marvel,27258.0
Justice Society of America,2.99,DC,27195.0
X-Men Prelude To Schism,2.99,Marvel,26565.0
Avengers Academy,2.99,Marvel,26378.0
Flashpoint Grodd of War,2.99,DC,26348.0
Booster Gold,2.99,DC,26183.0
Kirby Genesis,3.99,Dynamic Forces,26039.0
X-23,2.99,Marvel,25985.0
Fear Itself Home Front,3.99,Marvel,25738.0
Green Lantern Movie Prequel Kilowog,2.99,DC,25496.0
Incredible Hulks Annual,3.99,Marvel,25041.0
X-Factor,2.99,Marvel,24926.0
Green Lantern Movie Prequel Abin Sur,2.99,DC,24890.0
Ghost Rider,2.99,Marvel,24830.0
Green Lantern Movie Prequel Tomar Re,2.99,DC,24811.0
Daken Dark Wolverine,2.99,Marvel,24724.0
Batman Beyond,2.99,DC,24524.0
X-Factor,2.99,Marvel,24502.0
Superboy,2.99,DC,24037.0
Teen Titans,2.99,DC,23849.0
Avengers Academy,2.99,Marvel,23499.0
Fear Itself Deep,2.99,Marvel,23467.0
Batgirl,2.99,DC,23323.0
Flashpoint The Canterbury Cricket,2.99,DC,22948.0
Legion of Super Heroes,2.99,DC,22600.0
Fear Itself Fearsome Four,2.99,Marvel,22418.0
Captain America Corps,2.99,Marvel,22050.0
Wolverine Best There Is,3.99,Marvel,22001.0
Iron Age Alpha,2.99,Marvel,21671.0
Annihilators,4.99,Marvel,21604.0
Fear Itself Black Widow,3.99,Marvel,21340.0
Gotham City Sirens,2.99,DC,21288.0
Adventure Comics,2.99,DC,21211.0
Marvel Universe Vs Wolverine,3.99,Marvel,21155.0
Supergirl,2.99,DC,20985.0
Hellboy The Fury,2.99,Dark Horse,20928.0
Silver Surfer,2.99,Marvel,20686.0
Fear Itself Youth In Revolt,2.99,Marvel,20376.0
Black Panther Man Without Fear,2.99,Marvel,19883.0
Iron Man 2.0,2.99,Marvel,19798.0
Titans,2.99,DC,19780.0
Secret Six,2.99,DC,19562.0
Black Panther Man Without Fear,2.99,Marvel,19400.0
Iron Age,4.99,Marvel,19135.0
Generation Hope,2.99,Marvel,18883.0
DC Universe Online Legends,2.99,DC,18759.0
Fables,2.99,DC,18505.0
Boys,3.99,Dynamic Forces,18330.0
DC Universe Online Legends,2.99,DC,18178.0
Herc,2.99,Marvel,18106.0
Heroes For Hire,2.99,Marvel,18029.0
Punishermax,3.99,Marvel,17965.0
Zatanna,2.99,DC,17856.0
Dark Tower Gunslinger Battle of Tull,3.99,Marvel,17667.0
Star Wars Old Republic,3.5,Dark Horse,17642.0
Power Girl,2.99,DC,17251.0
JSA 80 Page Giant 2011,5.99,DC,17242.0
American Vampire Survival of the Fittest,2.99,DC,17160.0
Mystery Men,2.99,Marvel,16657.0
Batman And The Outsiders,2.99,DC,16265.0
Star Wars Jedi Dark Side,2.99,Dark Horse,16081.0
Deadpoolmax,3.99,Marvel,15802.0
American Vampire,2.99,DC,15705.0
Invincible,2.99,Image,15563.0
Supreme Power,3.99,Marvel,15251.0
Rocketeer Adventures,3.99,IDW,14912.0
Criminal Last of Innocent,3.5,Marvel,14849.0
Stand No Mans Land,3.99,Marvel,14480.0
Spawn,2.99,Image,14468.0
Haunt,2.99,Image,14360.0
Warlord of Mars,3.99,Dynamic Forces,14038.0
Marvel Zombies Supreme,3.99,Marvel,13962.0
Vampirella,3.99,Dynamic Forces,13649.0
Vampirella,3.99,Dynamic Forces,13645.0
Warlord of Mars Dejah Thoris,3.99,Dynamic Forces,13584.0
Conan Island of No Return,3.5,Dark Horse,13547.0
Godzilla Gangsters & Goliaths,3.99,IDW,13292.0
Zombies Christmas Carol,3.99,Marvel,13231.0
Mystery Men,2.99,Marvel,12993.0
Ka-Zar,2.99,Marvel,12805.0
Cinderella Fables Are Forever,2.99,DC,12799.0
Witch Doctor,2.99,Image,12592.0
Conan Road of Kings,3.5,Dark Horse,12523.0
Danger Girl Army of Darkness,3.99,Dynamic Forces,12417.0
Zombies Christmas Carol,3.99,Marvel,12164.0
Sonic The Hedgehog,2.99,Archie,11980.0
All Winners Squad Band of Heroes,2.99,Marvel,11836.0
G.I. Joe Vol. 2 Ongoing,3.99,IDW,11640.0
Walking Dead Survivors Guide,2.99,Image,11479.0
BPRD Dead Remembered,3.5,Dark Horse,11418.0
Morning Glories,2.99,Image,11385.0
Dark Horse Presents,7.99,Dark Horse,11315.0
Namor First Mutant,2.99,Marvel,11281.0
Skaar King of Savage Land,2.99,Marvel,11090.0
Unwritten,2.99,DC,10979.0
Captain America First Vengeance,2.99,Marvel,10660.0
Ruse,2.99,Marvel,10532.0
Green Hornet,3.99,Dynamic Forces,10396.0
Artifacts,3.99,Image,10343.0
Captain America First Vengeance,2.99,Marvel,10322.0
Izombie,2.99,DC,10320.0
