title,price,publisher,units
Fantastic Four,3.99,Marvel,115448.0
Brightest Day,2.99,DC,72841.0
Brightest Day,2.99,DC,72090.0
Spawn,3.99,Image,65448.0
Avengers,3.99,Marvel,64867.0
X-Men,3.99,Marvel,64615.0
Batman And Robin,2.99,DC,61785.0
New Avengers,3.99,Marvel,61169.0
Batman,2.99,DC,60231.0
Amazing Spider-Man,3.99,Marvel,56749.0
Invincible Iron Man,4.99,Marvel,54186.0
Uncanny X-Men,3.99,Marvel,54071.0
Green Lantern Corps,2.99,DC,53646.0
Amazing Spider-Man,3.99,Marvel,52050.0
Uncanny X-Force,3.99,Marvel,51381.0
Secret Avengers,3.99,Marvel,50748.0
Justice League of America,2.99,DC,47093.0
Age of X Alpha,3.99,Marvel,47050.0
Wolverine,3.99,Marvel,46920.0
Green Lantern Emerald Warriors,2.99,DC,43471.0
Thor,3.99,Marvel,42899.0
Captain America,3.99,Marvel,42119.0
Superman,2.99,DC,41843.0
X-Men Legacy,2.99,Marvel,40193.0
Buffy Vampire Slayer,2.99,Dark Horse,39486.0
Avengers Prime,3.99,Marvel,38624.0
Detective Comics,2.99,DC,38417.0
Batman Beyond,2.99,DC,35880.0
Ultimate Comics Captain America,3.99,Marvel,35741.0
Green Arrow,2.99,DC,35307.0
Daredevil Reborn,3.99,Marvel,34310.0
Wonder Woman,2.99,DC,33601.0
Ultimate Comics Spider-Man,3.99,Marvel,33481.0
Wolverine Best There Is,3.99,Marvel,33469.0
Ultimate Comics Avengers 3,3.99,Marvel,33454.0
Action Comics,2.99,DC,32134.0
Superior,2.99,Marvel,32031.0
Avengers Childrens Crusade,3.99,Marvel,31977.0
Birds of Prey,2.99,DC,31616.0
Incredible Hulks,3.99,Marvel,30992.0
Incredible Hulks,3.99,Marvel,30957.0
Justice League Generation Lost,2.99,DC,30877.0
Red Robin,2.99,DC,30547.0
Justice League Generation Lost,2.99,DC,30457.0
Superman Batman,2.99,DC,30363.0
Justice Society of America,2.99,DC,30071.0
Superboy,2.99,DC,29550.0
Walking Dead,2.99,Image,29526.0
Deadpool,2.99,Marvel,29167.0
Deadpool,2.99,Marvel,29144.0
X-23,2.99,Marvel,27855.0
Black Panther Man Without Fear,2.99,Marvel,27474.0
Thanos Imperative Devastation,3.99,Marvel,26531.0
Thunderbolts,2.99,Marvel,26515.0
Teen Titans,2.99,DC,25443.0
X-Factor,2.99,Marvel,25403.0
Batgirl,2.99,DC,25189.0
X-Factor,2.99,Marvel,25117.0
Chaos War,3.99,Marvel,24694.0
Legion of Super Heroes,2.99,DC,24230.0
Avengers Academy,2.99,Marvel,24014.0
New Mutants,2.99,Marvel,23773.0
Heroes For Hire,2.99,Marvel,23013.0
Adventure Comics,2.99,DC,22821.0
Supergirl,2.99,DC,22568.0
Ultimate Comics Doom,3.99,Marvel,22047.0
Scarlet,3.95,Marvel,22011.0
Titans,2.99,DC,21749.0
Batman Streets of Gotham,2.99,DC,21592.0
Wolverine & Jubilee,2.99,Marvel,21354.0
Secret Six,2.99,DC,20327.0
Astonishing Thor,3.99,Marvel,19642.0
Magneto,2.99,Marvel,19365.0
Boys,3.99,Dynamic Forces,19293.0
Deadpoolmax,3.99,Marvel,19238.0
Fables,2.99,DC,19183.0
Steel,2.99,DC,18728.0
Captain America Hail Hydra,2.99,Marvel,18717.0
Star Wars Darth Vader & Lost Command,3.5,Dark Horse,18654.0
Dark Tower Gunslinger Little Sisters Eluria,3.99,Marvel,18589.0
Zatanna,2.99,DC,18482.0
Spawn,2.99,Image,18458.0
Shazam,2.99,DC,18394.0
JSA All Stars,2.99,DC,17920.0
Star Wars Legacy War,3.5,Dark Horse,17847.0
Chaos War X-Men,3.99,Marvel,17783.0
Vampirella,3.99,Dynamic Forces,17531.0
Wonder Girl,2.99,DC,17412.0
American Vampire,2.99,DC,16969.0
Power Girl,2.99,DC,16823.0
Infestation,3.99,IDW,16743.0
Generation Hope,2.99,Marvel,16699.0
Chaos War Dead Avengers,3.99,Marvel,16425.0
Booster Gold,2.99,DC,16324.0
Deadpool Corps,2.99,Marvel,16120.0
Starman Congorilla,2.99,DC,15750.0
Punisher In Blood,3.99,Marvel,15298.0
Namor First Mutant,2.99,Marvel,15181.0
Weird Worlds,3.99,DC,14964.0
X-Men To Serve And Protect,3.99,Marvel,14530.0
Boys Highland Laddie,3.99,Dynamic Forces,14214.0
Lady Death,3.99,Avatar,14023.0
Green Hornet,3.99,Dynamic Forces,13913.0
Angel,3.99,IDW,13566.0
Conan The Road of Kings,3.5,Dark Horse,13385.0
Widow Maker,3.99,Marvel,13368.0
Batman Confidential,2.99,DC,13116.0
Star Wars Knight Errant Aflame,2.99,Dark Horse,13101.0
Captain America Man Out of Time,3.99,Marvel,13060.0
She-Hulks,2.99,Marvel,12926.0
BPRD Hell On Earth Gods,3.5,Dark Horse,12820.0
GFT Myths & Legends,2.99,Zenescope,12679.0
Iron Man Legacy,2.99,Marvel,12349.0
Thor First Thunder,3.99,Marvel,11799.0
Artifacts,3.99,Image,11788.0
Izombie,2.99,DC,11536.0
Unwritten,2.99,DC,11443.0
X-Men Forever 2,3.99,Marvel,11101.0
Knight & Squire,2.99,DC,11051.0
X-Men Forever 2,3.99,Marvel,10937.0
Morning Glories,3.5,Image,10795.0
Jonah Hex,2.99,DC,10752.0
Thunder Agents,2.99,DC,10602.0
I Am An Avenger,3.99,Marvel,10520.0
G.I. Joe A Real American Hero,3.99,IDW,10516.0
Rebels,2.99,DC,10354.0
JLA The 99,2.99,DC,10265.0
Irredeemable,3.99,Boom,10247.0
Transformers Ongoing,3.99,IDW,10159.0
Dungeons And Dragons,3.99,IDW,10112.0
Iron Man Thor,3.99,Marvel,9797.0
Witchblade,2.99,Image,9768.0
Hellblazer,4.99,DC,9507.0
Freedom Fighters,2.99,DC,9437.0
Young Justice,2.99,DC,9412.0
Ozma of Oz,3.99,Marvel,9386.0
Doom Patrol,2.99,DC,9375.0
Guarding The Globe,3.5,Image,9097.0
Mass Effect Evolution,3.5,Dark Horse,8944.0
John Byrne Next Men,3.99,IDW,8882.0
Walking Dead Weekly,2.99,Image,8858.0
Doctor Who Ongoing,3.99,IDW,8843.0
Red Sonja,3.99,Dynamic Forces,8826.0
Captain America Korvac Saga,2.99,Marvel,8724.0
Sweet Tooth,2.99,DC,8522.0
Ant-Man & Wasp,3.99,Marvel,8517.0
Incorruptible,3.99,Boom,8512.0
Dungeons & Dragons Dark Sun,3.99,IDW,8497.0
Doc Savage,2.99,DC,8407.0
New York Five,2.99,DC,8360.0
Thor Mighty Avenger,2.99,Marvel,8323.0
Walking Dead Weekly,2.99,Image,8306.0
G.I. Joe Origins,3.99,IDW,8136.0
Spike,3.99,IDW,8135.0
