title,price,publisher,units
Big Trouble in Little China/Escape From New York,3.99,Boom,421625.0
Champions,4.99,Marvel,328165.0
Doctor Strange Sorcerers Supreme,3.99,Marvel,149710.0
Dark Knight III Master Race,5.99,DC,133642.0
Batman,2.99,DC,129837.0
Batman,2.99,DC,126090.0
Civil War II,4.99,Marvel,118625.0
Darth Vader,5.99,Marvel,111381.0
All Star Batman,4.99,DC,106905.0
Walking Dead,2.99,Image,91291.0
Clone Conspiracy,4.99,Marvel,90285.0
Justice League,2.99,DC,89073.0
Justice League,2.99,DC,85789.0
Detective Comics,2.99,DC,81432.0
Deadpool Back In Black,3.99,Marvel,78653.0
Star Wars,3.99,Marvel,78160.0
Flash,2.99,DC,76749.0
Death of X,4.99,Marvel,75825.0
Reborn,3.99,Image,74967.0
Detective Comics,2.99,DC,74340.0
Flash,2.99,DC,74311.0
Jessica Jones,3.99,Marvel,74291.0
Infamous Iron Man,3.99,Marvel,73735.0
Amazing Spider-Man,4.99,Marvel,73215.0
Doctor Strange,3.99,Marvel,72990.0
Superman,2.99,DC,69905.0
Suicide Squad,2.99,DC,69385.0
Nightwing,2.99,DC,69246.0
Amazing Spider-Man,3.99,Marvel,67530.0
Superman,2.99,DC,67321.0
Wonder Woman,2.99,DC,66405.0
Trinity,2.99,DC,65106.0
Teen Titans,2.99,DC,64963.0
Wonder Woman,2.99,DC,64555.0
Suicide Squad,2.99,DC,63472.0
Star Wars Han Solo,3.99,Marvel,63030.0
Harley Quinn,2.99,DC,62943.0
Black Panther,3.99,Marvel,60857.0
Batman Beyond,2.99,DC,60537.0
Death of X,3.99,Marvel,59427.0
Harley Quinn,2.99,DC,58827.0
Nightwing,2.99,DC,58402.0
Titans,2.99,DC,58342.0
Action Comics,2.99,DC,55678.0
Action Comics,2.99,DC,53467.0
Spider-Man Deadpool,3.99,Marvel,52468.0
Green Lanterns,2.99,DC,52025.0
Deadpool,9.99,Marvel,51351.0
Hal Jordan and the Green Lantern Corps,2.99,DC,49988.0
Green Lanterns,2.99,DC,49434.0
Captain America Steve Rogers,3.99,Marvel,49111.0
Green Arrow,2.99,DC,48904.0
Hal Jordan and the Green Lantern Corps,2.99,DC,48064.0
Star Wars Poe Dameron,4.99,Marvel,47878.0
Saga,2.99,Image,46749.0
Green Arrow,2.99,DC,46606.0
Deadpool,3.99,Marvel,46109.0
Supergirl,2.99,DC,45692.0
Old Man Logan,3.99,Marvel,45384.0
Aquaman,2.99,DC,44551.0
Mosaic,4.99,Marvel,44354.0
Cage,3.99,Marvel,44178.0
Deadpool Back In Black,3.99,Marvel,44047.0
Invincible Iron Man,3.99,Marvel,43888.0
Aquaman,2.99,DC,42695.0
Deathstroke,2.99,DC,42521.0
Red Hood and the Outlaws,2.99,DC,41971.0
Doctor Strange,3.99,Marvel,41290.0
Batgirl,2.99,DC,40778.0
Mighty Thor,3.99,Marvel,40326.0
Great Lakes Avengers,3.99,Marvel,40300.0
Batgirl and the Birds of Prey,2.99,DC,40041.0
Serenity No Power in the Verse,3.99,Dark Horse,39492.0
Star Wars Force Awakens Adaptation,3.99,Marvel,39329.0
