title,price,publisher,units
Brightest Day ,2.99,DC,93459.0
Brightest Day ,2.99,DC,91546.0
Avengers ,3.99,Marvel,87333.0
New Avengers ,3.99,Marvel,81354.0
Secret Avengers ,3.99,Marvel,74655.0
Amazing Spider-Man ,3.99,Marvel,73656.0
Batman ,2.99,DC,73414.0
X-Men ,3.99,Marvel,71464.0
Uncanny X-Men ,3.99,Marvel,69052.0
Green Lantern Emerald Warriors ,3.99,DC,68332.0
Green Lantern Corps ,2.99,DC,67124.0
Amazing Spider-Man ,3.99,Marvel,67086.0
Justice League of America ,3.99,DC,60733.0
Avengers Prime ,3.99,Marvel,55518.0
Ultimate Comics Avengers 3 ,3.99,Marvel,53870.0
X-Men Legacy ,2.99,Marvel,53236.0
Captain America ,3.99,Marvel,52834.0
Captain America ,3.99,Marvel,51362.0
Thor ,3.99,Marvel,51076.0
Astonishing X-Men ,2.99,Marvel,50441.0
Superman ,2.99,DC,50023.0
Invincible Iron Man ,2.99,Marvel,49012.0
Hulk ,3.99,Marvel,48903.0
Justice Society of America ,2.99,DC,48420.0
Batman Odyssey ,3.99,DC,47675.0
Ultimate Comics Avengers 2 ,3.99,Marvel,46358.0
Green Arrow ,2.99,DC,46308.0
Birds of Prey ,2.99,DC,46149.0
Incredible Hulk ,3.99,Marvel,44982.0
Shadowland ,3.99,Marvel,44573.0
Daredevil ,2.99,Marvel,41577.0
Dark Wolverine ,2.99,Marvel,41409.0
Superman Secret Origin ,3.99,DC,41051.0
Steve Rogers Super-Soldier ,3.99,Marvel,40278.0
Justice League Generation Lost ,2.99,DC,39971.0
Dark Wolverine ,2.99,Marvel,39815.0
Justice League Generation Lost ,2.99,DC,38745.0
Detective Comics ,3.99,DC,38682.0
X-Force Sex and Violence ,3.99,Marvel,38480.0
Buffy the Vampire Slayer Riley One Shot,3.5,Dark Horse,38119.0
Wonder Woman ,2.99,DC,38012.0
Namor First Mutant ,3.99,Marvel,37399.0
Ultimate Comics Spider-Man ,3.99,Marvel,36946.0
Action Comics ,3.99,DC,36401.0
Avengers Academy ,2.99,Marvel,35629.0
Deadpool ,2.99,Marvel,35595.0
Red Robin ,2.99,DC,34709.0
Fantastic Four ,2.99,Marvel,34617.0
Deadpool ,4.99,Marvel,34482.0
Superman Batman ,4.99,DC,34324.0
Legion of Super Heroes ,3.99,DC,34239.0
Shield ,2.99,Marvel,33335.0
Titans ,2.99,DC,32800.0
New Mutants ,2.99,Marvel,31989.0
X-Men Curse of Mutants Storm & Gambit ,3.99,Marvel,31751.0
Batman Beyond ,2.99,DC,31469.0
Thunderbolts ,2.99,Marvel,31252.0
Thanos Imperative ,3.99,Marvel,30493.0
X-Factor ,2.99,Marvel,30095.0
Wolverine Weapon X ,3.99,Marvel,29424.0
Adventure Comics ,3.99,DC,28966.0
X-Men Curse of Mutants Blade ,3.99,Marvel,28318.0
Shadowland Moon Knight ,3.99,Marvel,28196.0
Secret Warriors ,2.99,Marvel,27415.0
Image United ,3.99,Image,27314.0
Batgirl ,2.99,DC,27247.0
Zatanna ,2.99,DC,27203.0
Shadowland Bullseye ,3.99,Marvel,26949.0
Time Masters Vanishing Point ,3.99,DC,26918.0
Secret Warriors ,2.99,Marvel,26902.0
Marvel Universe vs. Punisher ,3.99,Marvel,26665.0
Walking Dead ,2.99,Image,26553.0
Ultimate Comics Mystery ,3.99,Marvel,26507.0
True Blood ,3.99,IDW,26419.0
Supergirl ,2.99,DC,25891.0
DC Universe Legacies ,3.99,DC,25691.0
Thor Rage of Thor ,3.99,Marvel,25257.0
Superman the Last Family of Krypton ,4.99,DC,25046.0
Teen Titans ,3.99,DC,24971.0
Doomwar ,3.99,Marvel,24797.0
Red Hood Lost Days ,2.99,DC,24701.0
Gotham City Sirens ,2.99,DC,24589.0
Avengers & Infinity Gauntlet ,2.99,Marvel,24438.0
Marvel Universe vs. Punisher ,3.99,Marvel,24233.0
Batman Streets of Gotham ,3.99,DC,24171.0
Dungeons and Dragons ,1.0,IDW,23657.0
Deadpool Wade Wilsons War ,3.99,Marvel,23580.0
Deadpool Corps ,2.99,Marvel,22887.0
JSA All Stars ,3.99,DC,22347.0
Shadowland Blood on Streets ,3.99,Marvel,22110.0
Dark Tower Gunslinger Journey Begins ,3.99,Marvel,21820.0
Deadpool Team-Up ,2.99,Marvel,21279.0
Shadowland Power Man ,3.99,Marvel,21206.0
Secret Six ,2.99,DC,21177.0
Boys ,3.99,Dynamite,21041.0
Star Wars Legacy ,2.99,Dark Horse,20666.0
Punisher Max Happy Ending ,3.99,Marvel,20074.0
Fables ,2.99,DC,19625.0
Shadowland Daughters of Shadow ,3.99,Marvel,19513.0
Age of Heroes ,3.99,Marvel,19206.0
Booster Gold ,2.99,DC,19104.0
Power Girl ,2.99,DC,19091.0
Hellboy the Storm ,2.99,Dark Horse,19070.0
Boys Highland Laddie ,3.99,Dynamite,18629.0
Stand Hardcases ,3.99,Marvel,18352.0
Hawkeye & Mockingbird ,2.99,Marvel,17870.0
Iron Man Legacy ,2.99,Marvel,17773.0
Magnus Robot Fighter ,3.5,Dark Horse,17729.0
Black Widow ,2.99,Marvel,17568.0
Captain America Forever Allies ,3.99,Marvel,17418.0
Star Wars Old Republic ,2.99,Dark Horse,17384.0
Heroic Age Prince of Power ,3.99,Marvel,17137.0
New Mutants Forever ,3.99,Marvel,16784.0
Angel ,3.99,IDW,16016.0
Spider-Girl End ,3.99,Marvel,15888.0
Avengers Origin ,3.99,Marvel,15793.0
Izombie ,2.99,DC,15772.0
Outsiders ,2.99,DC,15754.0
Invincible ,2.99,Image,15735.0
Web of Spider-Man ,3.99,Marvel,15562.0
Guarding the Globe ,3.5,Image,15013.0
Batman Confidential ,2.99,DC,14341.0
G.I. Joe A Real American Hero ,3.99,IDW,14263.0
Ex Machina ,4.99,DC,14146.0
Young Allies ,2.99,Marvel,14016.0
X-Men Forever 2 ,3.99,Marvel,13632.0
B.P.R.D. Hell on Earth New World ,3.5,Dark Horse,13563.0
X-Men Forever 2 ,3.99,Marvel,13351.0
Spider-Man Fantastic Four ,3.99,Marvel,13329.0
Atlas ,2.99,Marvel,13205.0
Amazing Spider-Man Presents American Son ,3.99,Marvel,13128.0
Doc Savage ,3.99,DC,13125.0
Daredevil Black and White ,3.99,Marvel,13111.0
Last Phantom ,3.99,Dynamite,12887.0
Unwritten ,2.99,DC,12778.0
Chew ,2.99,Image,12756.0
G.I. Joe ,3.99,IDW,12264.0
Thor Mighty Avenger ,2.99,Marvel,12112.0
Irredeemable ,3.99,Boom,12106.0
Baltimore Plague Ships ,3.5,Dark Horse,12099.0
Transformers Ongoing ,3.99,IDW,11951.0
Spectacular Spider-Girl ,3.99,Marvel,11810.0
Jonah Hex ,2.99,DC,11775.0
X-Files 30 Days of Night ,3.99,DC,11163.0
Supergod ,3.99,Avatar,11134.0
Hercules Twilight of A God ,3.99,Marvel,11029.0
Spirit ,3.99,DC,11015.0
