title,price,publisher,units
U.S.Avengers,3.99,Marvel,110729.0
Batman,2.99,DC,106816.0
Batman,2.99,DC,102802.0
Justice League Power Rangers,3.99,DC,86589.0
Walking Dead,2.99,Image,85395.0
All Star Batman,4.99,DC,84296.0
Justice League Suicide Squad,3.99,DC,74299.0
Monsters Unleashed,4.99,Marvel,74107.0
Amazing Spider-Man,3.99,Marvel,73773.0
Justice League,2.99,DC,72598.0
Star Wars,3.99,Marvel,72331.0
Justice League Suicide Squad,3.99,DC,71450.0
Justice League Suicide Squad,3.99,DC,71213.0
Justice League Suicide Squad,3.99,DC,70489.0
Justice League,2.99,DC,70437.0
Detective Comics,2.99,DC,64090.0
IVX,3.99,Marvel,62723.0
IVX,3.99,Marvel,61638.0
Detective Comics,2.99,DC,61543.0
Flash,2.99,DC,60732.0
Superman,2.99,DC,60409.0
Flash,2.99,DC,58402.0
Superman,2.99,DC,57412.0
Venom,3.99,Marvel,55255.0
Clone Conspiracy,3.99,Marvel,54947.0
Suicide Squad,2.99,DC,54010.0
Suicide Squad,2.99,DC,53649.0
Unworthy Thor,3.99,Marvel,52938.0
Wonder Woman,2.99,DC,52784.0
Wonder Woman,2.99,DC,50978.0
Star Wars Doctor Aphra,3.99,Marvel,48592.0
Mighty Captain Marvel,3.99,Marvel,48519.0
Spider-Man,3.99,Marvel,47517.0
Harley Quinn,2.99,DC,47308.0
Mighty Thor,3.99,Marvel,47038.0
Titans,2.99,DC,46998.0
Spider-Man Deadpool,3.99,Marvel,46934.0
Trinity,2.99,DC,46204.0
Nightwing,2.99,DC,46057.0
Old Man Logan,3.99,Marvel,45807.0
Harley Quinn,2.99,DC,45599.0
Spider-Man Deadpool,4.99,Marvel,45566.0
Action Comics,2.99,DC,44894.0
Nightwing,2.99,DC,44462.0
Avengers,3.99,Marvel,44321.0
Invincible Iron Man,3.99,Marvel,44181.0
Saga,2.99,Image,43837.0
Action Comics,2.99,DC,43110.0
Captain America Steve Rogers,3.99,Marvel,42637.0
Saga,2.99,Image,42567.0
Deadpool,5.99,Marvel,42476.0
Doctor Strange,3.99,Marvel,41426.0
Teen Titans,2.99,DC,41304.0
Uncanny X-Men,3.99,Marvel,41231.0
Amazing Spider-Man Renew Your Vows,3.99,Marvel,41167.0
Star Wars Poe Dameron,3.99,Marvel,40091.0
Deadpool,3.99,Marvel,40064.0
Captain America Steve Rogers,3.99,Marvel,40051.0
Green Lanterns,2.99,DC,39854.0
Hal Jordan and the Green Lantern Corps,2.99,DC,39148.0
Black Panther,3.99,Marvel,38741.0
Green Lanterns,2.99,DC,38571.0
Hal Jordan and the Green Lantern Corps,2.99,DC,38053.0
Extraordinary X-Men,3.99,Marvel,38052.0
Unstoppable Wasp,3.99,Marvel,37415.0
Civil War II Oath,4.99,Marvel,37024.0
Thanos,3.99,Marvel,36643.0
Infamous Iron Man,3.99,Marvel,36373.0
Daredevil,3.99,Marvel,36014.0
Green Arrow,2.99,DC,35733.0
All New Wolverine,3.99,Marvel,35128.0
Champions,3.99,Marvel,34969.0
Deadpool The Duck,3.99,Marvel,34830.0
Spider-Gwen,3.99,Marvel,34768.0
Green Arrow,2.99,DC,34590.0
All New X-Men,3.99,Marvel,34143.0
Uncanny Avengers,3.99,Marvel,33957.0
Moon Knight,3.99,Marvel,33395.0
Aquaman,2.99,DC,33377.0
Daredevil,3.99,Marvel,33152.0
Punisher,3.99,Marvel,32937.0
Guardians of Galaxy,3.99,Marvel,32890.0
Hulk,3.99,Marvel,32585.0
Aquaman,2.99,DC,32424.0
Jessica Jones,3.99,Marvel,32252.0
Red Hood and the Outlaws,2.99,DC,31321.0
Reborn,3.99,Image,31102.0
Avengers,4.99,Marvel,30431.0
Justice League of America Killer Frost Rebirth,2.99,DC,29932.0
Deathstroke,2.99,DC,29864.0
Avengers,3.99,Marvel,29833.0
Batman Beyond,2.99,DC,29767.0
Justice League of America The Atom Rebirth,2.99,DC,29639.0
Us Avengers,3.99,Marvel,29523.0
Justice League of America Vixen Rebirth,2.99,DC,29435.0
Supergirl,2.99,DC,29030.0
Batgirl,2.99,DC,28712.0
Deathstroke,2.99,DC,28625.0
Batman TMNT Adventures,3.99,IDW,27921.0
Justice League of America The Ray Rebirth,2.99,DC,27749.0
Deadpool the Duck,3.99,Marvel,27085.0
Hawkeye,3.99,Marvel,27049.0
Batgirl and the Birds of Prey,2.99,DC,26618.0
Doctor Strange Punisher Magic Bullets,4.99,Marvel,26351.0
Doom Patrol,3.99,DC,26261.0
Doctor Strange Sorcerers Supreme,3.99,Marvel,26098.0
Black Panther World of Wakanda,3.99,Marvel,25248.0
Gamora,3.99,Marvel,24902.0
Deadpool And Mercs For Money,3.99,Marvel,24632.0
Ultimates 2,3.99,Marvel,24369.0
Ms Marvel,3.99,Marvel,24006.0
