title,price,publisher,units
Black Cat,4.99,Marvel,255709.0
DCeased,3.99,DC,152407.0
Silver Surfer Black,3.99,Marvel,129490.0
Batman Damned,6.99,DC,115414.0
Batman Who Laughs,4.99,DC,98535.0
Amazing Spider-Man,3.99,Marvel,89641.0
Immortal Hulk,3.99,Marvel,88100.0
Walking Dead,3.99,Image,85700.0
Batman,3.99,DC,81919.0
Batman,3.99,DC,80585.0
Superman Year One,7.99,DC,80103.0
Amazing Spider-Man,3.99,Marvel,74070.0
Event Leviathan,3.99,DC,74007.0
War of Realms,5.99,Marvel,68965.0
War of Realms,4.99,Marvel,66960.0
Savage Avengers,3.99,Marvel,65428.0
Detective Comics,3.99,DC,60389.0
Detective Comics,3.99,DC,59309.0
Spawn,2.99,Image,58563.0
Justice League,4.99,DC,57023.0
Incredible Hulk Last Call,4.99,Marvel,55793.0
Venom,3.99,Marvel,54044.0
Justice League,3.99,DC,52724.0
Uncanny X-Men,3.99,Marvel,51920.0
Spider-Man Annual,4.99,Marvel,49981.0
Star Wars Age of Rebellion Darth Vader,3.99,Marvel,48935.0
Superman,3.99,DC,47199.0
Fantastic Four,3.99,Marvel,47167.0
Avengers,3.99,Marvel,46732.0
Guardians of the Galaxy Annual,4.99,Marvel,46008.0
Green Lantern,3.99,DC,44066.0
Action Comics,3.99,DC,43893.0
Star Wars,3.99,Marvel,42704.0
Thor,3.99,Marvel,41525.0
Guardians of the Galaxy,3.99,Marvel,41485.0
Uncanny X-Men,3.99,Marvel,41199.0
Catwoman,3.99,DC,41167.0
Flash,3.99,DC,40956.0
Symbiote Spider-Man,3.99,Marvel,40909.0
True Believers Amazing Spider-Man,1.0,Marvel,40821.0
Deadpool,3.99,Marvel,39798.0
Wolverine Exit Wounds,4.99,Marvel,39359.0
Tony Stark Iron Man,3.99,Marvel,39059.0
Flash,3.99,DC,38853.0
Spider-Man Life Story,4.99,Marvel,38675.0
Tony Stark Iron Man,3.99,Marvel,37120.0
Captain America,3.99,Marvel,37100.0
Star Wars Age of Rebellion Luke Skywalker,3.99,Marvel,35239.0
Batman and the Outsiders,3.99,DC,34745.0
Daredevil,3.99,Marvel,34723.0
Thanos,3.99,Marvel,34387.0
Conan The Barbarian,3.99,Marvel,34366.0
Shazam,3.99,DC,34002.0
Deadpool,3.99,Marvel,32858.0
Wonder Woman,3.99,DC,32604.0
Batman Teenage Mutant Ninja Turtles III,3.99,DC,32424.0
Star Wars Vader Dark Visions,3.99,Marvel,32403.0
Wonder Woman,3.99,DC,31459.0
Captain Marvel,3.99,Marvel,31297.0
Justice League Dark,3.99,DC,30851.0
Usagi Yojimbo,3.99,IDW,29343.0
Major X,3.99,Marvel,28641.0
Young Justice,3.99,DC,28182.0
Friendly Neighborhood Spider-Man,3.99,Marvel,28149.0
Cosmic Ghost Rider Destroys Marvel History,3.99,Marvel,27785.0
Harley Quinn,3.99,DC,27547.0
Major X,3.99,Marvel,27114.0
Miles Morales Spider-Man,3.99,Marvel,26883.0
Dead Man Logan,3.99,Marvel,26302.0
Captain Marvel,3.99,Marvel,26141.0
Wolverine Infinity Watch,3.99,Marvel,24236.0
Teen Titans,3.99,DC,24208.0
Justice League Odyssey,3.99,DC,24053.0
Savage Sword of Conan,3.99,Marvel,24046.0
War of Realms New Agents of Atlas,3.99,Marvel,24023.0
Friendly Neighborhood Spider-Man,3.99,Marvel,23983.0
War of Realms New Agents of Atlas,3.99,Marvel,23525.0
Doctor Strange,3.99,Marvel,23493.0
Aquaman,3.99,DC,23284.0
Spider-Man Reptilian Rage,3.99,Marvel,23238.0
Superior Spider-Man,3.99,Marvel,22890.0
Nightwing,3.99,DC,22621.0
Superior Spider-Man,3.99,Marvel,22535.0
War of Realms Uncanny X-Men,3.99,Marvel,22506.0
Buffy The Vampire Slayer,3.99,Boom,22221.0
Psi-Lords,3.99,Valiant,22203.0
True Believers Spider-Man Spider-Man Vs. Mysterio,1.0,Marvel,22049.0
X-Men Grand Design X-Tinction,5.99,Marvel,22007.0
Deathstroke,3.99,DC,21785.0
Spider-Man City At War,3.99,Marvel,21771.0
Punisher,3.99,Marvel,21747.0
True Believers Spider-Man Morbius,1.0,Marvel,21599.0
Spider-Man and League of Realms,3.99,Marvel,21459.0
Star Wars Galaxy's Edge,3.99,Marvel,21378.0
Star Wars Doctor Aphra,3.99,Marvel,21309.0
War of Realms Journey Into Mystery,3.99,Marvel,21223.0
Black Panther,3.99,Marvel,21024.0
Firefly,3.99,Boom,20933.0
Supergirl,3.99,DC,20903.0
War of Realms New Agents of Atlas,3.99,Marvel,20454.0
Criminal,3.99,Image,20203.0
Star Wars Tie Fighter,3.99,Marvel,19971.0
War of Realms Journey Into Mystery,3.99,Marvel,19969.0
True Believers Marvel Tails Starring Peter Porker,1.0,Marvel,19965.0
Champions,3.99,Marvel,19921.0
X-Force,3.99,Marvel,19486.0
Sonata,3.99,Image,19364.0
Spider-Gwen Ghost Spider,3.99,Marvel,19352.0
War of Realms Punisher,3.99,Marvel,19276.0
Stranger Things Six,3.99,Dark Horse,18797.0
True Believers Spider-Man Vs. Hulk,1.0,Marvel,18682.0
War of Realms War Scrolls,4.99,Marvel,18122.0
Red Hood Outlaw,3.99,DC,18067.0
Batman Last Knight on Earth,5.99,DC,18003.0
Adventures of the Super Sons,3.99,DC,17857.0
Paper Girls,3.99,Image,17662.0
Oblivion Song By Kirkman and De Felici,3.99,Image,17600.0
Transformers Ghostbusters,3.99,IDW,17575.0
Hawkman,3.99,DC,17524.0
Magnificent Ms. Marvel,3.99,Marvel,16735.0
Marvel Team-Up,3.99,Marvel,16677.0
True Believers New Spider-Man,1.0,Marvel,16594.0
