title,price,publisher,units
Doomsday Clock,5.99,DC,117926.0
X-Men,3.99,Marvel,105708.0
Batman Last Knight On Earth,5.99,DC,90058.0
Dark Knight Returns The Golden Child,5.99,DC,88794.0
Venom,3.99,Marvel,74071.0
Harley Quinn Villain of the Year,4.99,DC,73146.0
Symbiote Spider-Man Alien Reality,4.99,Marvel,71341.0
Incoming,9.99,Marvel,69025.0
Amazing Spider-Man,3.99,Marvel,67111.0
Superman,3.99,DC,66684.0
Amazing Spider-Man,3.99,Marvel,63742.0
Batman,4.99,DC,60318.0
Harleen,7.99,DC,59501.0
Batman Curse of the White Knight,4.99,DC,58839.0
Batman,3.99,DC,58597.0
Spider-Man,3.99,Marvel,54722.0
TMNT,7.99,IDW,53954.0
Dr Strange,3.99,Marvel,53664.0
Revenge of Cosmic Ghost Rider,4.99,Marvel,50639.0
New Mutants,3.99,Marvel,49991.0
Immortal Hulk,3.99,Marvel,49851.0
Marauders,3.99,Marvel,49309.0
Conan Serpent War,4.99,Marvel,47804.0
Justice League,3.99,DC,47669.0
New Mutants,3.99,Marvel,47489.0
Excalibur,3.99,Marvel,47253.0
X-Force,3.99,Marvel,47178.0
Justice League,3.99,DC,46800.0
Power Rangers Teenage Mutant Ninja Turtles,4.99,Boom,46511.0
Joker Killer Smile,5.99,DC,46361.0
Suicide Squad,4.99,DC,46258.0
Excalibur,3.99,Marvel,46022.0
Year of the Villain Hell Arisen,4.99,DC,45975.0
Marauders,3.99,Marvel,45641.0
X-Force,3.99,Marvel,44872.0
Venom 2099,4.99,Marvel,41503.0
Spider-Ham,3.99,Marvel,41342.0
King Thor,5.99,Marvel,39566.0
Spider-Man 2099,4.99,Marvel,39272.0
Avengers,3.99,Marvel,39234.0
Amazing Mary Jane,3.99,Marvel,38956.0
Fallen Angels,3.99,Marvel,38883.0
Guardians of the Galaxy,4.99,Marvel,38253.0
Fallen Angels,3.99,Marvel,37350.0
Spawn,2.99,Image,36978.0
Captain Marvel,3.99,Marvel,36600.0
Fantastic Four,3.99,Marvel,36564.0
Batman Superman,3.99,DC,36269.0
Detective Comics,3.99,DC,35589.0
Wonder Woman Dead Earth,6.99,DC,35542.0
Batmans Grave,3.99,DC,34855.0
Undiscovered Country,3.99,Image,32806.0
Savage Avengers,3.99,Marvel,32298.0
Morbius,3.99,Marvel,32259.0
Tales From The Dark Multiverse The Judas Contract,5.99,DC,31762.0
Star Wars Rise Kylo Ren,4.99,Marvel,31733.0
Daredevil,3.99,Marvel,31701.0
