title,price,publisher,units
Civil War II,5.99,Marvel,381737.0
Batman,2.99,DC,280360.0
Batman Rebirth,2.99,DC,199807.0
Star Wars Han Solo,3.99,Marvel,152596.0
Civil War II,4.99,Marvel,148403.0
Dark Knight III Master Race,5.99,DC,139919.0
Dark Knight Returns The Last Crusade,6.99,DC,122305.0
Superman Rebirth,2.99,DC,118434.0
Wonder Woman,2.99,DC,107737.0
Superman,2.99,DC,105380.0
Flash,2.99,DC,100392.0
Green Lanterns Rebirth,2.99,DC,99504.0
Detective Comics,2.99,DC,96581.0
Star Wars,3.99,Marvel,96047.0
Wonder Woman Rebirth,2.99,DC,94458.0
Detective Comics,2.99,DC,94015.0
Flash Rebirth,2.99,DC,89618.0
Green Lanterns,2.99,DC,84910.0
Green Arrow Rebirth,2.99,DC,81760.0
Star Wars Force Awakens Adaptation,4.99,Marvel,79626.0
Darth Vader,3.99,Marvel,79065.0
Deadpool,9.99,Marvel,78536.0
Darth Vader,3.99,Marvel,77610.0
Aquaman,2.99,DC,77041.0
Action Comics,2.99,DC,75661.0
Action Comics,2.99,DC,75349.0
Black Panther,3.99,Marvel,75037.0
Civil War II Amazing Spider-Man,3.99,Marvel,72556.0
Justice League,3.99,DC,72413.0
Titans Rebirth,2.99,DC,72086.0
Walking Dead,2.99,Image,71755.0
Justice League,3.99,DC,70059.0
Green Arrow,2.99,DC,69833.0
Civil War II X-Men,3.99,Marvel,68470.0
Aquaman Rebirth,2.99,DC,68369.0
Captain America Steve Rogers,3.99,Marvel,66416.0
Deadpool Vs Gambit,3.99,Marvel,65773.0
Amazing Spider-Man,3.99,Marvel,65646.0
Amazing Spider-Man,3.99,Marvel,65519.0
Spider-Man Deadpool,3.99,Marvel,64630.0
Deadpool,3.99,Marvel,63334.0
Civil War II Choosing Sides,4.99,Marvel,62876.0
Star Wars Poe Dameron,3.99,Marvel,60889.0
Harley Quinn,3.99,DC,55774.0
Old Man Logan,3.99,Marvel,51926.0
Mighty Thor,3.99,Marvel,51300.0
Invincible Iron Man,3.99,Marvel,49141.0
Punisher,3.99,Marvel,47524.0
Spider-Man,3.99,Marvel,47025.0
Doctor Strange,3.99,Marvel,46306.0
Extraordinary X-Men,3.99,Marvel,45532.0
Uncanny X-Men,3.99,Marvel,45409.0
All New All Different Avengers,3.99,Marvel,44965.0
Uncanny X-Men,3.99,Marvel,44617.0
Spider-Gwen Annual,4.99,Marvel,43766.0
All New Wolverine,3.99,Marvel,43545.0
All New All Different Avengers,3.99,Marvel,42788.0
Dc Universe Rebirth,5.99,DC,42748.0
Spider-Gwen,3.99,Marvel,41713.0
Daredevil,3.99,Marvel,41172.0
Moon Knight,3.99,Marvel,40752.0
All New X-Men,3.99,Marvel,39978.0
Civil War II Gods of War,3.99,Marvel,39690.0
Power Rangers Pink,3.99,Boom,39674.0
Deadpool Mercs For Money,3.99,Marvel,38694.0
Uncanny Avengers,3.99,Marvel,38614.0
Empress,3.99,Marvel,37529.0
Thunderbolts,3.99,Marvel,36865.0
Paper Girls,2.99,Image,36385.0
Daredevil Punisher,4.99,Marvel,35374.0
Guardians of Galaxy,3.99,Marvel,34542.0
New Avengers,3.99,Marvel,34482.0
Wacky Raceland,3.99,DC,34065.0
Harley Quinn and Her Gang of Harleys,3.99,DC,34009.0
Mighty Morphin Power Rangers,3.99,Boom,33845.0
Gwenpool,3.99,Marvel,33018.0
Captain America Sam Wilson,3.99,Marvel,31989.0
Ms Marvel,3.99,Marvel,31798.0
Spider-Women Omega,4.99,Marvel,31260.0
Totally Awesome Hulk,3.99,Marvel,30808.0
Ultimates,3.99,Marvel,30675.0
Scooby Apocalypse,3.99,DC,29812.0
Uncanny Inhumans,3.99,Marvel,29539.0
Vote Loki,3.99,Marvel,29502.0
International Iron Man,3.99,Marvel,28998.0
Jupiters Legacy Vol. 2,3.99,Image,28409.0
Captain Marvel,3.99,Marvel,28213.0
Black Widow,3.99,Marvel,27016.0
I Hate Fairyland,3.5,Image,26095.0
A-Force,3.99,Marvel,25342.0
X-Men 92,3.99,Marvel,25044.0
Uncanny Inhumans,3.99,Marvel,24552.0
Power Man and Iron Fist,3.99,Marvel,24202.0
New Suicide Squad,2.99,DC,23887.0
Silk,3.99,Marvel,23162.0
Carnage,3.99,Marvel,23146.0
Spider-Man 2099,3.99,Marvel,22722.0
Vision,3.99,Marvel,22460.0
Poison Ivy Cycle of Life and Death,2.99,DC,21806.0
Robin Son of Batman,3.99,DC,21658.0
Deathstroke,2.99,DC,21094.0
Haunted Mansion,3.99,Marvel,21093.0
Grayson Annual,4.99,DC,20972.0
Adventures of Supergirl,2.99,DC,20741.0
Spidey,3.99,Marvel,20736.0
Lumberjanes Gotham Academy,3.99,Boom,20695.0
Superman The Coming of the Supermen,3.99,DC,20416.0
Rocket Raccoon and Groot,3.99,Marvel,20392.0
Descender,2.99,Image,19782.0
