title,price,publisher,units
Secret Wars,3.99,Marvel,221041.0
Star Wars Lando,3.99,Marvel,192949.0
Civil War II,4.99,Marvel,170546.0
Star Wars,3.99,Marvel,160000.0
Batman,3.99,DC,117441.0
Darth Vader,3.99,Marvel,114349.0
Archie,3.99,Archie,101488.0
Amazing Spider-Man Renew Your Vows,3.99,Marvel,93981.0
Age of Apocalypse,4.99,Marvel,88346.0
Guardians of Knowhere,3.99,Marvel,81902.0
Justice League,3.99,DC,81291.0
Mad Max Fury Road Max,4.99,DC,79955.0
Walking Dead,2.99,Image,79496.0
We Stand On Guard,2.99,Image,78690.0
Princess Leia,3.99,Marvel,77465.0
Justice League of America,3.99,DC,70979.0
Invader Zim,3.99,Oni,70481.0
Amazing Spider-Man,3.99,Marvel,67521.0
Old Man Logan,3.99,Marvel,67482.0
Spider-Island,4.99,Marvel,64841.0
Star Trek Green Lantern,3.99,IDW,64052.0
Book of Death,3.99,Valiant,61465.0
Saga,2.99,Image,60937.0
A-Force,3.99,Marvel,60330.0
Harley Quinn,3.99,DC,59566.0
Thors,3.99,Marvel,59286.0
Deadpools Secret Secret Wars,3.99,Marvel,54531.0
Kanan,3.99,Marvel,52260.0
X-Men 92,4.99,Marvel,51042.0
Spider-Verse,3.99,Marvel,50820.0
Detective Comics,3.99,DC,50743.0
Siege,3.99,Marvel,49195.0
Planet Hulk,3.99,Marvel,48236.0
Uncanny X-Men,3.99,Marvel,48094.0
Years of Future Past,3.99,Marvel,47572.0
Superman,3.99,DC,46691.0
Cyborg,2.99,DC,45187.0
Harley Quinn & Power Girl,3.99,DC,44974.0
Star-Lord And Kitty Pryde,3.99,Marvel,44760.0
Hail Hydra,3.99,Marvel,44515.0
Robin Son of Batman,3.99,DC,44232.0
Years of Future Past,3.99,Marvel,44074.0
Sonic Worlds Unite Battles,3.99,Archie,43815.0
Secret Wars Battleworld,3.99,Marvel,43736.0
1872,3.99,Marvel,42805.0
Ultimate End,3.99,Marvel,42577.0
Batman Superman,3.99,DC,41672.0
Fight Club 2,3.99,Dark Horse,41646.0
Future Imperfect,3.99,Marvel,41427.0
Age of Ultron Vs Marvel Zombies,3.99,Marvel,40483.0
Green Lantern,3.99,DC,39290.0
Groot,3.99,Marvel,39198.0
Marvel Zombies,3.99,Marvel,39148.0
Future Imperfect,3.99,Marvel,38269.0
Action Comics,3.99,DC,37956.0
Wonder Woman,3.99,DC,36668.0
Superman Wonder Woman,3.99,DC,36666.0
Mrs Deadpool And Howling Commandos,3.99,Marvel,36404.0
Flash,3.99,DC,36347.0
Giant Size Little Marvel Avx,3.99,Marvel,36019.0
Secret Wars 2099,3.99,Marvel,35932.0
New Suicide Squad,2.99,DC,35365.0
Inferno,3.99,Marvel,35285.0
X-Tinction Agenda,3.99,Marvel,35033.0
Batman Beyond,2.99,DC,35000.0
Inhumans Attilan Rising,3.99,Marvel,34919.0
Grayson,3.99,DC,33990.0
Starfire,2.99,DC,33659.0
Deathstroke,2.99,DC,33648.0
Red Skull,3.99,Marvel,33246.0
Batgirl,2.99,DC,33168.0
Hawkeye,4.99,Marvel,32397.0
Armor Wars,3.99,Marvel,32138.0
Earth 2 Society,2.99,DC,31663.0
All New Hawkeye,3.99,Marvel,31661.0
We Are Robin,3.99,DC,31209.0
Green Lantern The Lost Army,2.99,DC,31170.0
Squadron Sinister,3.99,Marvel,31141.0
E Is For Extinction,3.99,Marvel,31114.0
Runaways,3.99,Marvel,30697.0
Daredevil,3.99,Marvel,29904.0
Flash Annual,4.99,DC,29204.0
Captain Marvel And Carol Corps,3.99,Marvel,28741.0
Batgirl Annual,4.99,DC,28731.0
JLA Gods And Monsters Batman,3.99,DC,28657.0
Teen Titans,2.99,DC,28547.0
Aquaman,3.99,DC,28158.0
Outcast By Kirkman & Azaceta,2.99,Image,28012.0
Captain Britain And Mighty Defenders,3.99,Marvel,27618.0
Black Canary,2.99,DC,27512.0
Constantine The Hellblazer,2.99,DC,26870.0
Red Hood Arsenal,2.99,DC,26829.0
1602 Witch Hunter Angela,3.99,Marvel,26481.0
Korvac Saga,3.99,Marvel,26470.0
Weirdworld,3.99,Marvel,26307.0
Descender,2.99,Image,26039.0
Secret Wars Journal,3.99,Marvel,26031.0
Southern Bastards,3.5,Image,25741.0
Bobs Burgers,3.99,Dynamite,25709.0
JLA Gods And Monsters Superman,3.99,DC,25204.0
Deathstroke Annual,4.99,DC,25178.0
Archie Vs Predator,3.99,Dark Horse,25021.0
Martian Manhunter,2.99,DC,24957.0
Green Arrow,2.99,DC,24921.0
My Little Pony Friendship Is Magic,3.99,IDW,24488.0
Spider-Woman,3.99,Marvel,24354.0
Silver Surfer,3.99,Marvel,24321.0
Mickey Mouse,3.99,IDW,24299.0
Ghost Racers,3.99,Marvel,24274.0
Ant-Man Annual,4.99,Marvel,24223.0
Magneto,3.99,Marvel,24063.0
Justice League United,3.99,DC,23140.0
Sinestro,2.99,DC,23044.0
Doctor Fate,2.99,DC,22967.0
Secret Six,2.99,DC,22813.0
Gotham Academy,2.99,DC,22359.0
Punisher,3.99,Marvel,22235.0
Catwoman,2.99,DC,21983.0
